zipcode,factor
80002,1.026
80003,1.071
80004,1.037
80005,0.989
80007,0.974
80010,1.088
80011,1.01
80012,1.08
80013,1.038
80014,1.032
80015,1.031
80016,0.951
80017,1.023
80018,0.919
80019,0.893
80020,0.999
80021,0.964
80022,0.988
80023,0.956
80024,0.925
80025,1.004
80026,0.993
80027,0.995
80030,1.086
80031,1.064
80033,1.041
80035,1.124
80041,1.184
80045,0.954
80101,0.905
80102,0.909
80103,0.908
80104,0.936
80105,0.904
80106,0.904
80107,0.908
80108,0.988
80109,0.97
80110,1.051
80111,1.038
80112,1.007
80113,1.035
80116,0.926
80117,0.901
80118,0.943
80120,1.031
80121,1.002
80122,1.035
80123,1.001
80124,1.029
80125,0.923
80126,0.982
80127,0.959
80128,1.028
80129,1.015
80130,1.032
80131,0.976
80132,0.932
80133,0.903
80134,0.955
80135,0.92
80136,0.913
80137,0.908
80138,0.956
80155,1.091
80163,1.077
80165,1.22
80166,1.145
80201,1.07
80202,1.121
80203,1.084
80204,1.1
80205,1.104
80206,1.099
80207,1.061
80208,1.1
80209,1.097
80210,1.067
80211,1.112
80212,1.072
80214,1.09
80215,1.035
80216,1.035
80218,1.098
80219,1.095
80220,1.082
80221,1.067
80222,1.051
80223,1.064
80224,1.047
80225,1.05
80226,1.07
80227,1.02
80228,1.017
80229,1.047
80230,1.085
80231,1.062
80232,1.054
80233,1.058
80234,1.028
80235,1.023
80236,1.097
80237,1.077
80238,1.037
80239,1.093
80241,1.041
80246,1.087
80247,1.027
80248,1.127
80249,1.022
80260,1.037
80262,1.081
80264,1.125
80265,1.148
80290,1.17
80293,1.157
80294,1.163
80295,1.169
80299,1.077
80301,0.986
80302,0.972
80303,0.998
80304,1.044
80305,0.989
80306,1.009
80307,1
80308,0.998
80309,0.962
80310,1.263
80314,1.119
80401,0.975
80402,0.957
80403,0.909
80419,1.003
80420,0.92
80421,0.89
80422,0.918
80423,0.975
80424,0.921
80425,0.977
80426,0.987
80427,0.904
80428,0.914
80430,0.899
80432,0.882
80433,0.922
80434,0.934
80435,0.945
80436,0.896
80437,0.996
80438,0.909
80439,0.934
80440,0.918
80442,0.891
80443,0.929
80444,0.891
80446,0.872
80447,0.895
80448,0.872
80449,0.872
80451,0.883
80452,0.886
80453,0.912
80454,0.922
80455,0.881
80456,0.907
80457,0.912
80459,0.897
80461,0.903
80463,0.953
80465,0.937
80466,0.908
80467,0.896
80468,0.889
80469,0.882
80470,0.905
80471,0.927
80473,0.927
80474,0.917
80475,0.921
80476,0.884
80477,0.921
80478,0.88
80479,0.912
80480,0.873
80481,0.901
80482,0.917
80483,0.889
80487,0.911
80488,0.944
80497,0.881
80498,0.909
80501,1.025
80502,1.005
80503,0.938
80504,0.956
80510,0.932
80511,0.931
80512,0.884
80513,0.937
80514,0.955
80515,0.899
80516,0.96
80517,0.9
80520,0.969
80521,0.972
80522,1.08
80523,0.987
80524,0.934
80525,0.984
80526,0.953
80527,1.002
80528,0.954
80530,0.999
80532,0.933
80534,0.937
80535,0.911
80536,0.891
80537,0.939
80538,0.923
80540,0.902
80542,0.928
80543,0.933
80544,0.984
80545,0.896
80546,0.894
80547,0.942
80549,0.895
80550,0.924
80551,0.951
80553,0.972
80601,0.993
80602,0.954
80603,0.943
80610,0.894
80611,0.902
80612,0.904
80615,0.882
80620,1.008
80621,0.941
80622,0.909
80623,0.92
80624,0.931
80631,0.942
80632,0.972
80634,0.974
80638,1.016
80639,0.974
80640,0.971
80642,0.907
80643,0.926
80644,0.903
80645,0.916
80648,0.911
80649,0.902
80650,0.918
80651,0.937
80652,0.99
80653,0.924
80654,0.919
80701,0.903
80705,0.869
80720,0.872
80721,0.873
80722,0.873
80723,0.902
80726,0.887
80727,0.897
80728,0.906
80729,1.007
80731,0.879
80733,0.878
80734,0.877
80735,0.871
80736,0.875
80737,0.876
80740,0.902
80741,0.927
80742,0.919
80743,0.91
80744,0.852
80745,0.927
80746,0.927
80747,0.927
80749,0.865
80750,0.876
80751,0.887
80754,0.927
80755,0.927
80757,0.927
80758,0.882
80759,0.891
80801,0.878
80802,0.864
80804,0.908
80805,0.895
80807,0.882
80808,0.884
80809,0.878
80810,0.86
80812,0.879
80813,0.898
80814,0.897
80815,0.87
80816,0.875
80817,0.927
80818,0.906
80819,0.886
80820,0.878
80821,0.864
80822,0.927
80823,0.927
80824,0.927
80825,0.859
80826,1.191
80827,0.894
80828,0.876
80829,0.924
80830,0.918
80831,0.906
80832,0.893
80833,0.874
80834,0.896
80835,0.918
80836,0.891
80840,0.954
80860,0.886
80861,0.882
80862,0.894
80863,0.907
80864,0.905
80866,0.971
80902,0.953
80903,1.01
80904,0.939
80905,1.012
80906,0.972
80907,0.998
80908,0.932
80909,1.039
80910,1.047
80911,0.978
80913,0.934
80914,0.942
80915,1.002
80916,0.986
80917,1.02
80918,1.017
80919,0.992
80920,1.002
80921,0.944
80922,1.012
80923,1.02
80924,0.987
80925,0.903
80926,0.893
80927,0.912
80928,0.917
80929,0.915
80930,0.894
80938,0.951
80939,0.979
80943,1.232
80951,0.933
81001,0.939
81003,0.987
81004,0.906
81005,0.896
81006,0.888
81007,0.903
81008,0.912
81019,0.867
81020,0.884
81021,0.898
81022,0.912
81023,0.908
81024,0.928
81025,0.896
81027,0.927
81029,0.927
81030,0.927
81033,0.927
81036,0.87
81038,0.879
81039,0.888
81040,0.958
81041,0.923
81043,0.887
81044,0.927
81045,0.927
81047,0.885
81049,0.884
81050,0.881
81052,0.86
81054,0.873
81055,0.877
81057,0.872
81058,0.866
81059,0.88
81062,0.893
81063,0.883
81064,0.869
81067,0.887
81069,0.876
81071,0.873
81073,0.87
81076,0.867
81077,0.927
81081,0.927
81082,0.878
81084,0.927
81087,0.927
81089,0.87
81090,0.875
81091,0.894
81092,0.876
81101,0.873
81102,0.879
81120,0.882
81121,0.854
81122,0.897
81123,0.927
81124,0.927
81125,0.893
81126,0.872
81128,0.935
81129,0.888
81130,0.866
81131,0.893
81132,0.897
81133,0.893
81136,0.898
81137,0.903
81138,0.876
81140,0.899
81141,0.881
81143,0.864
81144,0.893
81146,0.892
81147,0.896
81148,0.881
81149,0.864
81151,0.874
81152,0.876
81154,0.896
81155,0.878
81157,0.88
81201,0.909
81210,0.968
81211,0.906
81212,0.9
81220,0.953
81221,0.898
81222,0.884
81223,0.866
81224,0.945
81225,0.942
81226,0.893
81227,0.929
81228,0.915
81230,0.902
81231,0.928
81232,0.884
81233,0.894
81235,0.913
81236,0.944
81237,0.927
81239,0.927
81240,0.893
81241,0.926
81242,0.959
81243,0.94
81244,0.921
81248,0.9
81251,0.878
81252,0.875
81253,0.876
81301,0.914
81302,0.919
81303,0.906
81320,0.94
81321,0.894
81323,0.885
81324,0.902
81325,0.89
81326,0.876
81327,0.909
81328,0.891
81330,0.892
81331,0.892
81332,0.888
81334,0.927
81335,0.966
81401,0.911
81402,0.935
81403,0.9
81410,0.939
81411,0.912
81413,0.885
81414,0.926
81415,0.905
81416,0.917
81418,0.885
81419,0.921
81422,0.907
81423,0.905
81424,0.914
81425,0.932
81426,1.037
81427,0.906
81428,0.928
81429,0.919
81430,0.91
81431,0.877
81432,0.919
81433,0.896
81434,0.889
81435,0.965
81501,1.023
81503,0.949
81504,0.978
81505,0.936
81506,0.933
81507,0.896
81520,0.975
81521,0.924
81522,0.93
81523,0.935
81524,0.925
81525,0.925
81526,0.924
81527,0.975
81601,0.95
81602,0.94
81610,0.934
81611,0.927
81612,1.007
81615,0.971
81620,0.985
81621,0.969
81623,0.943
81624,0.909
81625,0.897
81630,0.963
81631,0.98
81632,0.976
81633,0.936
81635,0.897
81637,0.952
81638,0.945
81639,0.937
81640,0.921
81641,0.906
81642,0.937
81643,0.968
81645,0.968
81646,0.902
81647,0.948
81648,0.883
81649,0.936
81650,0.929
81652,0.93
81653,0.954
81654,0.905
81655,0.959
81656,0.923
81657,0.949
81658,0.94
