zipcode,factor
default,1
46001,0.933
46011,0.951
46012,0.961
46013,0.965
46016,1.038
46017,0.941
46030,0.939
46031,0.929
46032,1.023
46033,1.037
46034,0.954
46035,0.951
46036,0.948
46037,1.011
46038,1.012
46039,1.001
46040,0.99
46041,0.941
46044,0.96
46045,0.927
46047,0.927
46048,0.986
46049,0.964
46050,0.942
46051,0.953
46052,0.936
46055,0.96
46056,0.977
46057,0.978
46058,0.978
46060,0.969
46062,0.981
46063,0.957
46064,0.933
46065,0.989
46068,0.923
46069,0.941
46070,0.948
46071,0.954
46072,0.933
46074,0.986
46075,0.925
46076,0.962
46077,0.999
46082,0.981
46103,0.972
46104,0.963
46105,0.963
46106,0.949
46107,1.049
46110,0.927
46111,0.927
46112,0.975
46113,0.98
46115,0.925
46117,0.938
46118,0.95
46120,0.934
46121,0.924
46122,0.942
46123,0.98
46124,0.954
46125,0.96
46126,0.965
46127,0.944
46128,0.923
46130,0.965
46131,0.959
46133,0.956
46135,0.936
46140,0.953
46142,1.023
46143,0.989
46144,0.927
46146,0.927
46147,0.926
46148,0.933
46149,0.937
46150,0.905
46151,0.961
46155,0.954
46156,0.946
46157,0.943
46158,0.966
46160,1.001
46161,0.926
46162,0.956
46163,0.985
46164,0.969
46165,0.949
46166,0.929
46167,0.941
46168,0.983
46171,0.927
46172,0.927
46173,0.934
46175,0.942
46176,0.951
46180,0.95
46181,0.948
46182,0.927
46183,0.927
46184,0.977
46186,0.942
46201,1.076
46202,1.092
46203,1.045
46204,1.208
46205,1.053
46208,1.04
46209,1.038
46214,1.037
46216,1.01
46217,0.988
46218,1.045
46219,1.03
46220,1.02
46221,0.995
46222,1.058
46223,1.068
46224,1.077
46225,1.051
46226,1.043
46227,1.064
46228,0.986
46229,1.021
46231,0.98
46234,0.998
46235,1.05
46236,1.012
46237,1.034
46239,0.987
46240,1.031
46241,1.032
46242,1.018
46249,0.992
46250,1.028
46254,1.032
46256,1.017
46259,0.996
46260,1.049
46268,1.005
46278,0.989
46280,1.007
46282,1.107
46283,1.128
46285,1.149
46290,1.01
46301,0.974
46303,0.988
46304,0.977
46307,0.993
46310,0.955
46311,1.038
46312,1.041
46319,1.025
46320,1.082
46321,1.05
46322,1.052
46323,1.045
46324,1.074
46327,1.05
46340,0.932
46341,0.935
46342,1.011
46345,0.955
46346,0.92
46347,0.956
46348,0.956
46349,0.938
46350,0.956
46355,0.951
46356,0.947
46360,0.978
46365,0.978
46366,0.98
46368,0.993
46371,0.922
46373,1.008
46374,0.958
46375,1.007
46376,0.927
46377,0.927
46379,0.927
46381,0.927
46382,0.962
46383,0.959
46384,0.975
46385,0.971
46390,0.972
46391,0.969
46392,0.942
46393,0.999
46394,1.055
46402,0.986
46403,0.98
46404,1.023
46405,1.011
46406,0.984
46407,1.026
46408,1.009
46409,1.032
46410,1.005
46501,0.927
46502,0.927
46504,0.927
46506,0.957
46507,0.968
46508,0.959
46510,0.948
46511,0.92
46514,0.998
46515,1.256
46516,1.02
46517,0.996
46524,0.989
46526,0.982
46528,0.997
46530,0.974
46531,0.972
46532,0.969
46534,0.943
46536,0.926
46537,0.955
46538,0.983
46539,0.978
46540,0.972
46542,0.929
46543,0.981
46544,0.98
46545,1.008
46550,0.98
46552,0.95
46553,0.981
46554,0.942
46555,0.937
46556,0.977
46561,1.004
46562,0.962
46563,0.944
46565,1.001
46567,0.935
46570,0.98
46571,1.026
46573,0.95
46574,0.933
46580,0.947
46582,0.94
46590,1.001
46595,1.024
46601,1.046
46604,1.043
46613,1.039
46614,0.955
46615,1.047
46616,1.034
46617,1.025
46619,1.004
46620,1.053
46624,1.103
46626,1.034
46628,0.966
46634,1.167
46635,1.014
46637,0.984
46699,0.962
46701,0.939
46702,0.912
46703,0.929
46704,0.927
46705,0.927
46706,0.945
46710,0.971
46711,0.942
46714,0.929
46721,0.926
46723,0.941
46725,0.945
46730,0.924
46731,0.927
46732,0.927
46733,0.946
46737,0.927
46738,0.96
46740,0.931
46741,0.953
46742,0.983
46743,0.958
46745,0.96
46746,1.036
46747,0.999
46748,0.963
46750,0.923
46755,0.956
46759,0.927
46760,0.927
46761,0.975
46763,0.945
46764,0.953
46765,0.961
46766,0.963
46767,0.965
46770,0.922
46771,0.927
46772,0.927
46773,0.922
46774,0.957
46776,0.944
46777,0.932
46779,0.923
46781,0.933
46783,0.942
46784,0.944
46785,0.945
46786,0.948
46787,0.951
46788,0.963
46791,0.937
46792,0.91
46793,0.978
46794,0.966
46795,0.954
46797,0.95
46798,0.927
46799,0.927
46802,1.046
46803,1.013
46804,0.981
46805,1.033
46806,1.03
46807,1.047
46808,1.011
46809,0.977
46814,0.989
46815,0.999
46816,0.982
46818,0.961
46819,0.948
46825,1.005
46835,0.973
46845,0.989
46885,1.032
46897,0.992
46901,0.951
46902,0.961
46910,0.942
46911,0.936
46913,0.93
46914,0.963
46915,0.936
46916,0.909
46917,0.93
46919,0.938
46920,0.946
46922,0.94
46923,0.934
46926,0.926
46928,0.918
46929,0.936
46930,0.927
46931,0.927
46932,0.914
46933,0.957
46936,0.956
46938,0.946
46939,0.936
46940,0.927
46941,0.927
46943,0.927
46946,0.927
46947,0.936
46950,0.929
46951,0.921
46952,0.925
46953,0.949
46957,0.954
46958,0.941
46959,0.926
46960,0.927
46961,0.927
46962,0.924
46967,0.927
46968,0.927
46970,0.945
46971,0.943
46974,0.941
46975,0.935
46978,0.927
46979,0.92
46982,0.935
46984,0.927
46985,0.927
46986,0.931
46987,0.974
46988,0.954
46989,0.934
46990,0.927
46991,0.927
46992,0.936
46994,0.935
46996,0.935
46998,0.958
47001,0.981
47003,0.96
47006,0.939
47010,0.935
47011,0.929
47012,0.975
47016,0.927
47017,0.927
47018,0.937
47020,0.927
47022,0.927
47023,1.017
47024,0.931
47025,0.968
47030,0.964
47031,0.959
47032,0.951
47034,0.927
47035,0.927
47036,0.953
47037,0.962
47038,0.948
47040,0.934
47041,0.95
47042,0.947
47043,0.929
47060,0.939
47102,0.956
47104,0.954
47106,0.953
47108,0.927
47110,0.927
47111,0.962
47112,0.94
47114,0.933
47115,0.925
47116,0.929
47117,0.933
47118,0.934
47119,0.955
47120,0.963
47122,0.971
47123,0.986
47124,1.001
47125,0.975
47126,0.95
47129,1.021
47130,1.003
47135,0.977
47136,0.95
47137,0.975
47138,1
47140,0.906
47141,0.91
47142,0.914
47143,0.97
47145,0.92
47147,0.959
47150,0.998
47160,0.975
47161,0.951
47162,0.948
47163,0.944
47164,0.926
47165,0.948
47166,0.92
47167,0.923
47170,0.947
47172,0.975
47174,0.96
47175,0.944
47177,0.972
47201,0.942
47202,0.95
47203,0.957
47220,0.919
47223,0.944
47224,0.927
47226,0.927
47227,0.96
47229,0.934
47230,0.927
47231,0.927
47232,0.985
47234,0.972
47235,0.959
47236,0.944
47240,0.928
47243,0.927
47244,0.929
47246,0.929
47247,0.927
47250,0.926
47260,0.921
47263,0.927
47264,0.927
47265,0.947
47270,0.954
47272,0.962
47273,0.932
47274,0.939
47280,0.953
47281,0.952
47282,0.951
47283,0.969
47302,0.966
47303,0.959
47304,0.95
47305,1.076
47306,1.045
47307,1.01
47320,0.975
47324,0.927
47325,0.927
47326,0.927
47327,0.94
47330,0.94
47331,0.969
47334,0.965
47335,0.96
47336,0.954
47337,0.939
47338,0.924
47339,0.92
47340,0.915
47341,0.923
47342,0.93
47344,0.965
47345,0.999
47346,0.942
47348,0.918
47351,0.94
47352,0.961
47353,0.956
47354,0.945
47355,0.937
47356,0.932
47357,0.941
47358,0.95
47359,0.959
47360,0.968
47361,0.953
47362,0.938
47367,0.936
47368,0.933
47369,0.927
47371,0.918
47373,0.944
47374,0.95
47380,0.927
47381,0.927
47382,0.927
47383,0.968
47384,0.927
47385,0.927
47386,0.989
47387,0.978
47388,0.968
47390,0.923
47392,0.944
47393,0.965
47394,0.935
47396,0.939
47401,0.936
47402,0.984
47403,0.946
47404,0.959
47405,1.077
47406,1.077
47408,0.947
47420,0.956
47421,0.965
47424,0.915
47427,0.899
47429,0.946
47431,0.944
47432,0.942
47433,0.924
47434,0.927
47436,0.927
47437,0.927
47438,0.924
47441,0.957
47443,0.938
47446,0.918
47448,0.929
47449,0.927
47451,0.927
47452,0.927
47453,0.927
47454,0.918
47455,0.927
47456,0.927
47457,0.927
47458,0.927
47459,0.961
47460,0.928
47462,0.933
47464,0.917
47465,0.901
47467,0.923
47468,0.944
47469,0.975
47470,0.956
47471,0.937
47501,0.93
47512,0.93
47513,0.927
47514,0.927
47515,0.927
47516,0.927
47519,0.927
47520,0.927
47521,0.927
47522,0.927
47523,0.936
47524,0.927
47525,0.927
47527,0.926
47528,0.927
47529,0.927
47531,0.927
47532,0.949
47535,0.927
47536,0.927
47537,0.927
47541,0.927
47542,0.956
47546,0.958
47550,0.927
47551,0.927
47552,0.927
47553,0.957
47556,0.927
47557,0.927
47558,0.969
47561,0.96
47562,0.951
47564,0.957
47567,0.932
47568,0.927
47574,0.927
47575,0.927
47576,0.947
47577,0.927
47578,0.927
47579,0.928
47580,0.927
47581,0.927
47584,0.927
47585,0.927
47586,0.936
47588,0.927
47590,0.927
47591,0.921
47596,0.927
47597,0.927
47598,0.904
47601,0.931
47610,0.93
47611,0.911
47612,0.934
47613,0.918
47615,0.903
47616,0.917
47619,0.942
47620,0.944
47629,1.05
47630,0.978
47631,0.922
47633,0.93
47634,0.93
47635,0.929
47637,0.934
47638,0.939
47639,0.927
47640,0.927
47647,0.927
47648,0.929
47649,0.927
47654,0.927
47660,0.927
47665,0.964
47666,0.95
47670,0.936
47683,1.005
47708,1.074
47710,1.023
47711,1
47712,0.946
47713,1.039
47714,1.033
47715,0.983
47719,1.008
47720,0.943
47722,0.95
47725,0.956
47802,0.936
47803,0.958
47804,1.001
47805,0.942
47807,1.054
47809,1.059
47811,0.927
47812,0.927
47832,0.927
47833,0.927
47834,0.939
47836,0.927
47837,0.927
47838,0.947
47840,0.898
47841,0.926
47842,0.953
47846,0.936
47847,0.935
47848,0.924
47849,0.902
47850,0.91
47853,0.927
47854,0.927
47855,0.915
47857,0.927
47858,0.927
47859,0.927
47860,0.927
47861,0.91
47862,0.927
47863,0.927
47865,0.927
47866,0.926
47868,0.927
47869,0.927
47871,0.91
47872,0.968
47874,0.941
47876,0.948
47879,0.94
47880,0.927
47881,0.927
47882,0.917
47884,0.924
47885,0.93
47901,1.097
47904,1.05
47905,0.942
47906,0.945
47907,1.103
47909,0.942
47916,0.927
47917,0.927
47918,0.934
47920,0.919
47921,0.917
47922,0.914
47923,0.914
47924,0.927
47925,0.927
47926,0.927
47928,0.927
47929,0.905
47930,0.919
47932,0.933
47933,0.934
47940,0.914
47941,0.957
47942,0.927
47943,0.927
47944,0.9
47946,0.942
47948,0.927
47949,0.927
47950,0.927
47951,0.925
47952,0.916
47954,0.949
47955,0.924
47957,0.927
47958,0.927
47959,0.941
47960,0.95
47963,0.905
47964,0.927
47965,0.927
47966,0.944
47967,0.927
47968,0.927
47969,0.927
47970,0.905
47971,0.897
47974,0.888
47975,0.921
47977,0.925
47978,0.933
47980,0.927
47981,0.927
47982,0.927
47983,0.927
47987,0.909
47989,0.915
47990,0.921
47991,0.927
47992,0.927
47993,0.954
47994,0.927
47995,0.927
47997,0.927
