zipcode,factor
default,0.98
66002,0.98
66006,0.98
66007,0.98
66008,0.98
66010,0.98
66012,0.98
66013,0.98
66014,0.98
66015,0.98
66016,0.98
66017,0.98
66018,0.98
66020,0.98
66021,0.98
66023,0.98
66024,0.98
66025,0.98
66026,0.98
66027,0.98
66030,0.98
66031,0.98
66032,0.98
66033,0.98
66035,0.98
66039,0.98
66040,0.98
66041,0.98
66042,0.98
66043,0.98
66044,0.98
66045,0.98
66046,0.98
66047,0.98
66048,0.98
66049,0.98
66050,0.98
66052,0.98
66053,0.98
66054,0.98
66056,0.98
66058,0.98
66060,0.98
66061,0.98
66062,0.98
66064,0.98
66066,0.98
66067,0.98
66070,0.98
66071,0.98
66072,0.98
66073,0.98
66075,0.98
66076,0.98
66078,0.98
66079,0.98
66080,0.98
66083,0.98
66085,0.98
66086,0.98
66087,0.98
66088,0.98
66090,0.98
66091,0.98
66092,0.98
66093,0.98
66094,0.98
66095,0.98
66097,0.98
66101,1.04
66102,1.04
66103,1.04
66104,1.04
66105,1.04
66106,1.04
66109,1.04
66110,1.04
66111,1.04
66112,1.04
66113,0.98
66115,1.04
66117,1.04
66118,1.04
66160,1.04
66201,1.04
66202,1.04
66203,1.04
66204,1.04
66205,1.04
66206,1.04
66207,1.04
66208,1.04
66209,0.98
66210,0.98
66211,0.98
66212,1.04
66213,0.98
66214,1.04
66215,1.04
66216,1.04
66217,1.04
66218,0.98
66219,1.04
66220,0.98
66221,0.98
66222,1.04
66223,0.98
66224,0.98
66226,0.98
66227,0.98
66250,1.04
66251,0.98
66276,1.04
66279,1.04
66283,0.98
66401,0.98
66402,0.98
66403,0.98
66404,0.98
66406,0.98
66407,0.98
66408,0.98
66409,0.98
66411,0.98
66412,0.98
66413,0.98
66414,0.98
66415,0.98
66416,0.98
66417,0.98
66418,0.98
66419,0.98
66422,0.98
66423,0.98
66424,0.98
66425,0.98
66427,0.98
66428,0.98
66429,0.98
66431,0.98
66432,0.98
66434,0.98
66436,0.98
66438,0.98
