zipcode,factor
default,1
20601,0.794
20602,0.8
20603,0.806
20604,0.869
20606,0.964
20607,1.059
20608,1.088
20609,0.782
20610,0.767
20611,0.753
20612,0.902
20613,1.05
20615,0.915
20616,0.779
20617,0.752
20618,0.767
20619,0.772
20620,0.76
20621,0.764
20622,0.782
20623,1.116
20624,0.743
20625,0.821
20626,0.848
20627,0.927
20628,0.927
20629,0.803
20630,0.846
20632,0.732
20634,0.794
20635,0.767
20636,0.782
20637,0.785
20639,0.779
20640,0.759
20645,0.771
20646,0.782
20650,0.785
20653,0.797
20656,0.787
20657,0.776
20658,0.773
20659,0.768
20660,0.927
20661,0.927
20662,0.758
20664,0.814
20667,0.78
20670,0.753
20674,0.788
20675,0.767
20676,0.768
20677,0.764
20678,0.789
20680,0.815
20682,0.831
20684,0.846
20685,0.762
20686,0.723
20687,0.748
20688,0.772
20689,0.775
20690,0.812
20692,0.776
20693,0.805
20695,0.789
20701,1.121
20705,1.138
20706,1.181
20707,1.148
20708,1.125
20710,1.241
20711,0.767
20712,1.229
20714,0.782
20715,1.113
20716,1.109
20719,1.162
20720,1.112
20721,1.122
20722,1.245
20723,1.124
20724,0.771
20732,0.78
20733,0.802
20735,1.136
20736,0.783
20737,1.244
20740,1.164
20742,1.23
20743,1.188
20744,1.125
20745,1.212
20746,1.176
20747,1.199
20748,1.179
20751,0.784
20754,0.786
20755,0.803
20757,1.185
20758,0.782
20759,1.112
20762,1.067
20763,1.16
20764,0.791
20765,0.855
20769,1.102
20770,1.128
20771,1.064
20772,1.079
20774,1.095
20776,0.777
20777,1.073
20778,0.811
20779,0.771
20781,1.248
20782,1.244
20783,1.259
20784,1.215
20785,1.181
20794,0.828
20812,1.118
20814,1.231
20815,1.25
20816,1.219
20817,1.183
20818,1.146
20832,1.137
20833,1.079
20837,1.031
20838,1.028
20839,1.031
20841,1.077
20842,1.046
20850,1.188
20851,1.212
20852,1.213
20853,1.146
20854,1.125
20855,1.114
20859,1.125
20860,1.095
20861,1.091
20862,1.065
20866,1.124
20868,1.088
20871,1.079
20872,1.08
20874,1.136
20875,1.133
20876,1.163
20877,1.203
20878,1.133
20879,1.151
20880,1.175
20882,1.08
20885,1.286
20886,1.188
20889,1.206
20892,1.227
20895,1.203
20896,1.203
20899,1.211
20901,1.226
20902,1.216
20903,1.287
20904,1.183
20905,1.112
20906,1.191
20910,1.242
20912,1.275
20913,1.335
20914,1.199
21001,0.789
21005,0.715
21009,0.8
21010,0.714
21012,0.812
21013,0.899
21014,0.814
21015,0.786
21017,0.8
21027,0.915
21028,0.764
21029,1.074
21030,0.915
21031,0.951
