zipcode,factor
default,1
125,0.99
126,0.99
127,0.99
128,0.99
130,0.99
132,0.99
133,0.99
134,0.99
135,0.99
137,0.99
138,0.99
139,0.99
140,0.99
141,0.99
145,0.99
147,0.99
148,0.99
151,0.99
3901,0.99
3902,1.018
3903,0.987
3904,1.007
3905,1.042
3906,0.99
3907,0.995
3908,0.98
3909,1.001
3910,1.052
3911,1.128
4001,0.974
4002,0.951
4003,0.98
4005,1.007
4006,1.012
4008,0.934
4009,0.956
4010,0.99
4011,0.989
4013,1.062
4015,0.945
4016,0.957
4017,0.927
4019,0.927
4020,0.96
4021,0.987
4022,0.914
4024,0.914
4027,0.969
4029,0.922
4030,0.952
4032,0.976
4037,0.947
4038,0.978
4039,0.964
4040,0.981
4041,0.944
4042,0.973
4043,1.012
4046,0.981
4047,0.972
4048,0.914
4049,0.989
4050,0.927
4051,0.927
4055,0.964
4056,0.927
4057,0.927
4061,0.947
4062,0.986
4063,1.156
4064,1.014
4066,1.038
4068,0.948
4069,0.95
4071,0.968
4072,0.982
4073,1.007
4074,1.003
4076,1.061
4078,1.119
4079,0.989
4083,1.013
4084,0.972
4085,0.958
4086,0.98
4087,0.952
4088,0.938
4090,0.977
4091,0.926
4092,1.055
4093,0.966
4095,0.98
4096,1.014
4097,0.996
4101,1.201
4102,1.052
4103,1.074
4105,1.007
4106,1.034
4107,1.034
4108,1.064
4109,1.111
4110,1.071
4210,0.978
4216,0.923
4217,0.93
4219,0.945
4220,0.96
4221,0.951
4222,0.946
4224,0.948
4226,0.927
4227,0.927
4228,0.927
4231,0.96
4234,0.962
4236,0.962
4237,0.951
4238,0.939
4239,0.936
4240,1.021
4250,0.978
4252,0.966
4253,0.941
4254,0.96
4255,0.941
4256,0.972
4257,0.917
4258,0.941
4259,0.936
4260,0.969
4261,0.989
4263,1.008
4265,0.944
4266,0.927
4267,0.927
4268,0.953
4270,0.963
4271,0.957
4274,0.95
4275,0.937
4276,0.924
4278,0.944
4280,0.962
4281,0.949
4282,0.969
4284,0.964
4285,0.959
4286,0.954
4287,0.941
4289,0.947
4290,0.927
4292,0.908
4294,0.946
4330,0.953
4333,0.995
4341,0.933
4342,0.944
4343,0.935
4344,0.99
4345,0.938
4346,0.98
4347,0.962
4348,0.935
4349,0.972
4350,0.958
4351,0.972
4352,0.923
4353,0.921
4354,0.942
4355,0.945
4357,0.977
4358,0.963
4359,0.947
4360,0.931
4363,1.008
4364,0.954
4401,0.971
4406,0.927
4408,0.927
4410,0.942
4411,0.927
4412,0.975
4413,0.941
4414,0.906
4415,0.918
4416,0.93
4417,0.909
4418,0.901
4419,0.948
4421,0.986
4422,0.946
4424,0.906
4426,0.912
4427,0.948
4428,0.939
4429,0.929
4430,0.936
4431,0.961
4434,0.986
4435,0.971
4438,0.956
4441,0.938
4442,0.921
4443,0.915
4444,0.935
4448,0.899
4449,0.908
4450,0.917
4451,0.913
4453,0.908
4454,0.927
4455,0.927
4456,0.905
4457,0.918
4459,0.915
4460,0.912
4461,0.933
4462,0.908
4463,0.908
4464,0.909
4468,0.912
4469,0.945
4471,0.927
4472,0.933
4473,0.945
4474,0.938
4475,0.933
4476,0.941
