zipcode,factor
default,1
38601,0.954
38603,0.965
38606,0.98
38610,0.988
38611,0.995
38614,0.97
38617,0.966
38618,0.962
38619,0.948
38620,0.989
38621,0.957
38622,0.927
38623,0.927
38625,0.927
38626,0.943
38627,0.986
38629,0.985
38630,0.981
38631,0.978
38632,1.023
38633,0.996
38635,0.969
38637,1.048
38639,1.003
38641,0.958
38642,0.996
38643,0.972
38644,0.947
38645,0.953
38646,0.958
38647,0.969
38650,0.979
38651,1.047
38652,0.98
38654,1.006
38655,0.969
38658,0.959
38659,0.95
38661,0.98
38663,0.974
38664,0.953
38665,0.979
38666,0.96
38668,0.981
38670,1.023
38671,1.065
38672,1.045
38673,0.927
38674,0.927
38676,0.971
38677,1.01
38680,0.999
38683,0.962
38685,0.956
38701,0.987
38702,0.987
38703,0.972
38704,0.927
38720,0.927
38721,0.936
38722,0.945
38723,0.954
38725,0.936
38726,0.955
38730,0.963
38731,0.963
38732,0.964
38733,0.927
38736,0.927
38737,0.927
38738,0.927
38740,0.927
38744,0.927
38745,0.927
38746,0.947
38748,0.956
38749,0.997
38751,0.981
38753,0.957
38754,0.961
38756,0.965
38759,0.927
38760,0.927
38761,0.927
38762,1.01
38764,0.929
38765,0.927
38767,0.927
38768,0.97
38769,0.991
38771,0.981
38772,0.982
38773,0.983
38774,0.969
38778,0.927
38780,0.927
38781,0.927
38801,1.001
38804,0.999
38821,0.965
38824,0.962
38826,0.968
38827,0.986
38828,0.965
38829,0.96
38833,0.977
38834,0.984
38838,0.991
38841,0.998
38843,0.948
38844,0.927
38846,0.927
38847,0.975
38848,0.946
38849,0.96
38850,0.963
38851,0.98
38852,0.968
38855,0.973
38856,0.98
38857,0.986
38858,0.966
38859,0.95
38860,0.962
38862,0.988
38863,0.97
38864,0.937
38865,0.959
38866,0.986
38868,0.953
38869,0.991
38870,0.967
38871,0.957
38873,0.952
38876,0.95
38878,0.99
38879,1.02
38901,0.975
38913,0.939
38914,0.954
38915,0.969
