zipcode,factor
default,1
27006,0.982
27007,0.899
27009,0.948
27011,0.919
27012,0.968
27013,0.945
27014,0.936
27016,0.927
27017,0.943
27018,0.953
27019,0.945
27020,0.909
27021,0.964
27022,0.903
27023,0.961
27024,0.979
27025,0.952
27027,0.938
27028,0.95
27030,0.957
27040,0.951
27041,0.95
27042,0.945
27043,0.94
27045,0.959
27046,0.97
27047,0.933
27048,0.951
27050,0.941
27051,0.965
27052,0.944
27053,0.894
27054,0.929
27055,0.94
27101,1.024
27102,1.218
27103,0.991
27104,1.013
27105,0.997
27106,0.999
27107,0.99
27109,1.127
27110,1.089
27113,1.05
27127,0.972
27130,0.961
27201,0.972
27203,0.997
27204,1.04
27205,0.965
27207,0.95
27208,0.902
27209,0.916
27212,0.93
27214,0.93
27215,0.979
27216,0.964
27217,0.975
27229,0.932
27231,0.926
27233,0.915
27235,0.972
27239,0.953
27242,0.917
27243,0.943
27244,0.94
27247,0.906
27248,0.981
27249,0.96
27252,0.936
27253,0.965
27258,0.968
27260,1.033
27261,1.02
27262,1.016
27263,0.998
27265,0.986
27278,0.96
27281,0.902
27282,0.988
27283,0.941
27284,0.981
27285,1.055
27288,0.957
27291,0.933
27292,0.968
27293,1.08
27295,0.95
27298,0.938
27299,0.938
27301,0.948
27302,0.952
27305,0.926
27306,0.92
27310,0.962
27311,0.959
27312,0.936
27313,0.957
27314,0.909
27315,0.981
27316,0.941
27317,0.953
27320,0.939
27325,0.915
27326,0.932
27330,0.959
27332,0.954
27340,0.941
27341,0.947
27343,0.894
27344,0.93
27349,0.939
27350,0.954
27351,0.949
27355,0.943
27356,0.94
27357,0.949
27358,0.972
27360,0.975
27361,1.007
27370,0.963
27371,0.927
27374,0.975
27375,0.947
27376,0.962
27377,0.948
27379,0.932
27401,1.026
27402,1.122
27403,1.052
27404,0.996
27405,0.983
27406,0.978
27407,0.998
27408,1.009
27409,0.971
27410,0.979
27411,1.071
27412,1.05
27413,1.005
27416,0.961
27417,1.048
27419,0.999
27427,1.098
27435,1.055
27455,0.971
27501,0.981
27502,0.986
27503,0.945
27504,0.965
27505,0.942
27506,0.945
27507,0.916
27508,0.963
27509,0.999
27510,1.057
27511,1.043
27513,1.04
27514,1.033
27515,1.009
27516,0.975
27517,1
27518,1.037
27519,1.001
27520,0.974
27521,0.964
27522,0.939
27523,0.974
27524,0.932
27525,0.962
27526,0.964
27527,0.97
27528,1.026
27529,0.982
27530,0.963
27531,1.014
27532,1.062
27534,0.939
27536,0.986
27537,0.942
27539,0.99
27540,0.97
27541,0.938
27542,0.955
27544,0.928
27545,0.977
27546,0.944
27549,0.942
27551,0.936
27553,1.013
27555,0.933
27556,0.93
27557,0.927
27559,0.934
27560,1.034
27562,0.941
27563,0.942
27565,0.937
27568,0.967
27569,0.95
27571,0.999
27572,0.929
27573,0.958
27574,0.95
27576,0.948
27577,0.945
27581,0.947
27582,0.93
27583,0.931
27586,0.932
27587,0.984
27589,0.932
27591,0.964
27592,0.947
27596,0.971
27597,0.969
27599,0.956
27601,1.109
27602,1.135
27603,1.003
27604,1.023
27605,1.087
27606,1.013
27607,1.045
27608,1.068
27609,1.046
27610,1.008
27611,1.109
27612,1.026
27613,0.998
27614,1.004
27615,1.032
27616,1.005
27617,1.037
27619,1.044
27622,1.037
27626,1.187
27695,1.058
27701,1.079
27702,1.022
27703,0.987
27704,0.996
27705,0.988
27706,1.021
27707,1.033
27708,1.001
27709,1.012
27710,1.011
27711,1.059
27712,0.95
27713,0.99
27715,1.023
27717,1.044
27801,0.95
27803,0.983
27804,0.967
27805,0.944
27806,0.928
27807,0.938
27808,0.945
27809,0.906
27810,0.92
27811,0.944
27812,0.957
27813,0.906
27814,0.906
27816,0.905
27817,0.932
27818,0.945
27819,0.945
27820,0.945
27821,0.944
27822,0.943
27823,0.912
27824,0.938
27825,0.924
27826,0.914
27827,0.903
27828,0.938
27829,0.911
27830,0.928
27831,0.903
27832,0.931
27834,0.939
27835,0.973
27836,0.915
27837,0.95
27839,0.909
27840,0.936
27841,0.942
27842,0.919
27843,0.934
27844,0.919
27845,0.915
27846,0.901
27847,0.904
27849,0.906
27850,0.932
27851,0.991
27852,0.955
27853,0.945
27855,0.934
27856,0.944
27857,0.927
27858,0.954
27860,0.932
27861,0.927
27862,0.927
27863,0.938
27864,0.961
27865,0.907
27866,0.909
27869,0.911
27870,0.949
27871,0.927
27872,0.926
27873,0.927
27874,0.923
27875,0.927
27876,0.927
27878,0.951
27879,0.95
27880,0.947
27881,0.927
27882,0.907
27883,0.902
27884,0.896
27885,0.945
27886,0.926
27888,0.937
27889,0.935
27890,0.955
27891,0.921
27892,0.927
27893,0.975
27894,0.945
27895,0.93
27896,0.973
27897,0.965
27909,0.956
27910,0.927
27915,0.984
27916,0.968
27917,0.952
27919,0.956
27920,0.959
27921,0.945
27922,0.902
27923,0.964
27924,0.913
27925,0.926
27926,0.962
27927,0.948
27928,0.924
27929,0.975
27932,0.956
27935,0.894
27936,0.961
27937,0.932
27938,0.954
27939,0.969
27941,0.986
27942,1.014
27943,1.041
27944,0.961
27946,0.906
27947,1.011
27948,0.99
27949,0.995
27950,0.972
27953,1.072
27954,0.996
27956,1.014
27957,0.951
27958,0.978
27959,1
27960,0.989
27962,0.926
27964,0.938
27965,0.987
27966,1.009
27967,0.945
27968,0.964
27970,0.891
27972,0.911
27973,0.93
27974,0.962
27976,0.993
27978,0.969
27979,0.945
27980,0.95
27981,0.986
27982,0.967
27983,0.915
27985,0.977
27986,0.954
28001,0.96
28002,0.956
28006,0.955
28007,0.94
28009,0.966
28012,0.991
28016,0.972
28017,0.952
28018,0.93
28019,0.987
28020,0.933
28021,0.96
28023,0.989
28025,0.969
28027,0.988
28031,1.023
28032,0.974
28033,1.005
28034,0.97
28035,0.987
28036,1.005
28037,0.994
28039,1.033
28040,0.935
28041,0.941
28042,0.938
28043,0.952
28052,0.984
28054,1.018
28056,0.971
28070,1.019
28071,0.944
28072,0.974
28073,0.971
28075,0.989
28076,0.927
28077,0.927
28078,0.992
28079,0.986
28080,0.963
28081,0.989
28083,0.983
28086,0.949
28088,0.999
28089,0.961
28090,0.923
28091,0.906
28092,0.977
28093,1.01
28097,0.953
28098,1.028
28101,1.049
28102,0.965
28103,0.938
28104,0.987
28105,1.014
28106,1.004
28107,0.98
28108,0.972
28109,0.979
28110,0.985
28111,0.982
28112,0.977
28114,0.93
28115,0.992
28117,1.034
28119,0.923
28120,0.984
28124,0.941
28125,0.947
28127,0.927
28128,0.923
28129,0.98
28133,0.924
28134,1.005
28135,0.929
28137,0.891
28138,0.947
28139,0.929
28144,0.97
28146,0.952
28147,0.968
28150,0.941
28152,0.944
28159,0.993
28160,0.98
28163,0.972
28164,0.984
28166,0.98
28167,0.902
28168,0.921
28169,0.942
28170,0.932
28173,1.003
28174,0.965
28201,1.132
28202,1.15
28203,1.146
28204,1.119
28205,1.074
28206,1.027
28207,1.134
28208,1.025
28209,1.083
28210,1.071
28211,1.077
28212,1.072
28213,1.026
28214,0.987
28215,0.996
28216,0.987
28217,1.032
28219,1.02
28222,1.043
28223,1.038
28226,1.05
28227,0.989
28228,1.028
28233,1.257
28241,1.046
28244,1.124
28246,1.084
28254,1.137
28255,1.19
28256,1.006
28258,1.029
28260,1.052
28262,1.014
28266,1.13
28269,1.005
28270,1.042
28273,1.016
28274,1.098
28277,1.04
28278,0.986
28280,1.077
28281,1.209
28282,1.145
28284,1.193
28285,1.212
28287,1.116
28289,0.927
28290,0.927
28296,0.927
28301,0.987
28303,0.982
28304,1.002
28305,1.041
28306,0.964
28307,0.963
28308,0.939
28310,0.975
28311,0.945
28312,0.908
28314,0.993
28315,0.947
28318,0.914
28320,0.939
28323,0.926
28325,0.912
28326,0.916
28327,0.931
28328,0.935
28329,1.062
28330,0.947
28332,0.947
28333,0.946
28334,0.948
28335,1.034
28337,0.924
28338,0.915
28339,0.939
28340,0.929
28341,0.951
28342,0.939
28343,0.926
28344,0.927
28345,0.933
28347,0.876
28348,0.962
28349,0.941
28350,0.93
28351,0.919
28352,0.941
28356,0.944
28357,0.927
28358,0.931
28359,0.982
28360,0.957
28363,0.909
28364,0.935
28365,0.944
28366,0.926
28367,0.938
28368,0.939
28369,0.941
28371,0.941
28372,0.954
28373,0.908
28374,1
28375,0.974
28376,0.948
28377,0.943
28379,0.938
28380,1.038
28382,0.915
28383,0.941
28384,0.948
28385,0.938
28386,0.905
28387,0.969
28388,1.017
28390,0.934
28391,0.93
28392,0.929
28393,0.922
28394,0.937
28395,0.916
28396,0.922
28398,0.928
28399,0.936
28401,1.037
28402,1.124
28403,1.04
28404,1.035
28405,1.022
28406,1.051
28409,1.002
28410,1.005
28411,0.972
28412,1.008
28420,0.927
28421,0.905
28422,0.974
28423,0.93
28424,0.962
28425,0.954
28428,0.999
28429,0.96
28430,0.893
28431,0.919
28432,0.931
28433,0.898
28434,0.939
28435,0.98
28436,0.926
28438,0.932
28439,0.938
28441,0.936
28442,0.895
28443,0.933
28444,0.912
28445,0.925
28447,0.927
28448,0.927
28449,0.98
28450,0.942
28451,0.968
28452,0.945
28453,0.921
28454,0.917
28455,0.918
28456,0.921
28457,0.936
28458,0.95
28460,0.956
28461,0.958
28462,0.963
28463,0.935
28464,0.971
28465,1.007
28466,0.941
28467,0.954
28468,0.976
28469,0.996
28470,0.947
28472,0.923
28478,0.902
28479,0.942
28480,1.034
28501,0.941
28502,1.055
28503,1.008
28504,0.945
28508,0.932
28509,0.924
28510,0.93
28511,0.953
28512,1.01
28513,0.926
28515,0.918
28516,0.939
28518,0.947
28519,0.93
28520,0.922
28521,0.914
28523,0.914
28524,0.914
28525,0.914
28526,0.914
28527,0.915
28528,0.935
28529,0.955
28530,0.907
28531,1.032
28532,0.94
28533,0.927
28537,0.913
28538,0.899
28539,0.924
28540,0.951
28541,1.161
28542,1.102
28543,0.976
28544,0.95
28546,0.948
28547,0.936
28551,0.926
28552,0.938
28553,1.022
28554,0.969
28555,0.915
28556,0.921
28557,1.002
28560,0.953
28561,0.927
28562,0.934
28563,1.079
28570,0.934
28571,0.927
28572,0.92
28573,0.918
28574,0.943
28575,0.975
28577,0.945
28578,0.915
28579,0.971
28580,0.947
28581,0.965
28582,0.908
28583,0.949
28584,0.964
28585,0.914
28586,0.917
28587,0.938
28589,0.941
28590,0.944
28594,0.978
28601,0.987
28602,0.974
28604,0.926
28605,0.953
28606,0.952
28607,0.951
28608,1.076
28609,0.975
28610,0.965
28611,0.963
28612,0.96
28613,0.992
28615,0.912
28616,0.984
28617,0.968
28618,0.964
28619,0.973
28621,0.963
28622,0.944
28623,0.926
28624,0.882
28625,0.95
28626,0.911
28627,0.935
28628,0.908
28629,0.939
28630,0.964
28631,0.927
28633,0.927
28634,0.944
28635,0.932
28636,0.957
28637,0.963
28638,0.966
28640,0.962
28642,0.945
28643,0.95
28644,0.907
28645,0.95
28646,0.95
28647,0.947
28649,0.921
28650,0.943
28651,0.944
28652,0.936
28654,0.928
28655,0.95
28657,0.933
28658,0.973
28659,0.956
28660,0.987
28662,1.017
28663,0.995
28664,0.974
28665,0.941
28666,0.956
28667,0.941
28668,0.925
28669,0.933
28670,0.939
28671,0.984
28672,0.975
28673,0.967
28675,0.936
28676,0.934
28677,0.978
28678,0.971
28679,0.89
28680,0.942
28681,0.947
28682,1.06
28683,0.956
28684,0.918
28685,0.933
28687,0.948
28689,0.938
28690,0.956
28691,0.887
28692,0.938
28693,0.969
28694,0.956
28697,0.951
28698,0.939
28701,0.974
28702,0.969
28704,0.965
28705,0.944
28707,0.974
28708,0.908
28709,0.955
28710,1.003
28711,0.937
28712,0.956
28713,0.938
28714,0.924
28715,0.995
28716,0.948
28717,0.969
28718,0.958
28719,0.935
28720,0.932
28721,0.968
28722,0.956
28723,0.927
28725,0.929
28726,0.977
28727,0.956
28728,0.986
28729,0.975
28730,0.975
28731,0.97
28732,0.97
28733,0.963
28734,0.956
28735,1.006
28736,0.947
28739,0.969
28740,0.922
28741,0.965
28742,0.963
28743,0.9
28744,1.008
28745,1.022
28746,0.96
28747,0.945
28748,0.949
28749,0.955
28751,0.95
28752,0.942
