zipcode,factor
default,1
68001,0.931
68002,0.931
68003,0.918
68004,0.962
68005,1.004
68007,0.952
68008,0.937
68010,1.199
68014,0.927
68015,0.927
68016,0.927
68017,0.928
68018,0.927
68019,0.927
68020,0.927
68022,0.985
68023,0.951
68025,0.974
68026,1.092
68028,0.952
68029,0.95
68030,0.948
68031,0.967
68033,0.985
68034,0.927
68036,0.927
68037,0.942
68038,0.92
68039,0.927
68040,0.927
68041,0.911
68042,0.924
68044,0.938
68045,0.917
68046,0.983
68047,0.916
68048,0.936
68050,0.927
68055,0.927
68057,0.927
68058,1.01
68059,0.943
68061,0.897
68062,0.912
68063,0.926
68064,0.929
68065,0.934
68066,0.939
68067,0.93
68068,0.933
68069,0.933
68070,0.938
68071,0.909
68072,0.918
68073,0.927
68101,1.209
68102,1.058
68104,1.057
68105,1.103
68106,1.051
68107,1.089
68108,1.1
68110,0.985
68111,1.081
68112,0.974
68113,0.959
68114,1.035
68116,0.991
68117,1.016
68118,1.031
68122,0.97
68123,0.981
68124,1.025
68127,1.041
68128,1.021
68130,1.039
68131,1.086
68132,1.061
68133,0.997
68134,1.037
68135,1.05
68136,0.998
68137,1.037
68138,0.995
68142,0.97
68144,1.036
68145,1.055
68147,1.049
68152,0.961
68154,1.043
68157,1.014
68164,1.023
68175,1.138
68178,1.166
68182,1.13
68197,1.032
68198,1.062
68301,0.937
68303,0.929
68304,0.92
68305,0.933
68307,0.935
68309,0.929
68310,0.922
68313,0.917
68314,0.912
68315,0.927
68316,0.927
68317,0.921
68318,0.927
68319,0.927
68320,0.927
68321,0.905
68322,0.9
68323,0.927
68324,0.927
68325,0.927
68326,0.927
68327,0.927
68328,0.932
68329,0.927
68330,0.927
68331,0.925
68332,0.931
68333,0.936
68335,0.945
68336,0.954
68337,0.927
68338,0.927
68339,0.966
68340,0.9
68341,0.919
68342,0.936
68343,0.927
68344,0.927
68345,0.927
68346,0.927
68347,0.921
68348,0.922
68349,0.923
68350,0.923
68351,0.923
68352,0.906
