zipcode,factor
default,1
97001,0.998
97002,0.998
97004,0.919
97005,1.056
97006,1.046
97007,1.02
97008,1.07
97009,0.969
97010,0.928
97011,0.886
97013,0.968
97014,0.885
97015,1.034
97016,0.896
97017,0.908
97018,0.958
97019,0.906
97020,0.911
97021,0.9
97022,0.932
97023,0.9
97024,0.962
97026,0.883
97027,1.056
97028,0.899
97029,0.976
97030,1.053
97031,0.935
97032,0.93
97033,0.987
97034,1.043
97035,1.057
97037,0.9
97038,0.915
97039,0.858
97040,0.891
97041,0.944
97042,1.016
97044,1.076
97045,0.957
97048,0.928
97049,0.871
97050,0.9
97051,0.929
97053,0.961
97054,0.924
97055,0.926
97056,0.944
97057,0.918
97058,0.893
97060,0.989
97062,1.008
97063,0.917
97064,0.899
97065,0.845
97067,0.896
97068,0.982
97070,0.987
97071,0.957
97077,0.966
97080,0.975
97086,1.02
97089,0.917
97101,0.915
97102,0.899
97103,0.899
97106,0.923
97107,0.887
97108,0.927
97109,0.927
97110,0.966
97111,0.907
97112,0.883
97113,0.927
97114,0.88
97115,0.885
97116,0.961
97117,0.931
97118,0.9
97119,0.93
97121,0.897
97122,0.864
97123,0.982
97124,0.96
97125,0.893
97127,0.969
97128,0.927
97130,0.963
97131,0.881
97132,0.914
97133,0.915
97134,1.038
97135,0.874
97136,0.917
97137,0.938
97138,0.893
97140,0.959
97141,0.892
97144,0.917
97145,0.941
97146,0.886
97147,0.96
97148,0.956
97149,0.945
97201,1.124
97202,1.05
97203,1.05
97204,1.239
97205,1.156
97206,1.053
97207,1.14
97208,1.064
97209,1.111
97210,1.029
97211,1.013
97212,1.089
97213,1.053
97214,1.09
97215,1.067
97216,1.067
97217,1.013
97218,1.052
97219,1.013
97220,1.029
97221,1.04
97222,1.049
97223,1.052
97224,1.022
97225,1.021
97227,1.062
97229,1.014
97230,1.044
97231,0.951
97232,1.073
97233,1.082
97236,1.049
97238,1.122
97239,1.049
97258,1.186
97266,1.065
97267,1.025
97268,1.087
97280,0.98
97281,1.152
97286,1.091
97291,1.138
97301,1.035
97302,0.977
97303,0.948
97304,0.926
97305,0.958
97306,0.926
97309,0.925
97317,0.97
97321,0.917
97322,0.922
97324,0.885
97325,0.915
97326,0.906
97327,0.878
97329,0.905
97330,0.931
97331,0.918
97333,0.905
97338,0.92
97339,1.017
97341,0.918
97342,0.865
97343,0.927
97344,0.927
97345,0.927
97346,0.893
97347,0.901
97348,0.908
97350,0.909
97351,0.909
97352,0.941
97355,0.881
97357,0.87
97358,0.848
97360,0.944
97361,0.888
97362,1.017
97364,0.884
97365,0.915
97366,0.929
97367,0.899
97368,0.889
97369,0.958
97370,0.878
97371,0.941
97373,1.05
97374,0.934
97375,0.881
97376,0.84
97377,0.881
97378,0.911
97380,0.86
97381,0.897
97383,0.911
97384,0.918
97385,0.963
97386,0.905
97388,0.942
97389,0.908
97390,0.871
97391,0.9
97392,0.952
97394,0.881
97396,0.897
97401,1.037
97402,0.935
97403,0.997
97404,0.966
97405,0.885
97406,0.887
97408,0.917
97410,0.978
97411,0.899
97412,0.896
97413,0.946
97414,0.923
97415,0.899
97416,1.001
97417,0.878
97419,0.903
97420,0.911
97423,0.903
97424,0.883
97426,0.924
97429,0.873
97430,0.865
97431,0.857
97434,0.95
97435,0.897
97436,0.94
97437,0.882
97438,0.893
97439,0.902
97441,0.891
97442,0.879
97443,0.972
97444,0.9
97446,0.854
97447,0.92
97448,0.899
97449,0.927
97450,0.878
97451,0.872
97452,0.867
97453,0.874
97454,0.899
97455,0.923
97456,0.866
97457,0.897
97458,0.904
97459,0.896
97461,0.893
97462,0.898
97463,0.886
97465,0.889
97466,0.885
97467,0.882
97469,0.901
97470,0.915
97471,0.917
97473,0.909
97476,0.865
97477,1.042
97478,0.906
97479,0.894
97480,0.996
97481,0.927
97484,0.927
97486,0.885
97487,0.906
97488,0.911
97489,0.896
97490,0.927
97492,0.927
97493,0.869
97494,0.921
97495,1.023
97496,0.891
97497,0.954
97498,0.893
97499,0.854
97501,0.957
97502,0.936
97503,0.937
97504,0.966
97520,0.918
97522,0.971
97523,0.897
97524,0.902
97525,0.912
97526,0.921
97527,0.924
97530,0.905
97531,0.959
97532,0.896
97533,0.906
97534,0.986
97535,0.93
97536,0.897
97537,0.924
97538,0.888
97539,0.917
97540,0.896
97541,0.907
97543,0.949
97544,0.941
97601,0.873
97603,0.893
97604,0.927
97620,0.927
97621,0.927
97622,0.927
97623,0.893
97624,0.905
97625,0.89
97626,0.872
97627,0.945
97630,0.896
97632,0.899
97633,0.868
97634,0.884
97635,0.927
97636,0.927
97637,0.848
97638,0.927
97639,0.927
97640,0.927
97641,0.854
97701,0.914
97702,0.905
97707,0.913
97710,0.927
97711,0.927
97712,0.927
97720,0.854
97721,0.927
97722,0.927
97730,0.99
97731,0.927
97732,0.927
97733,0.888
97734,0.94
97735,0.852
97736,0.853
97737,0.885
97738,0.883
97739,0.889
97741,0.894
97750,0.858
97751,0.885
97752,0.911
97753,0.96
97754,0.897
97756,0.936
97758,0.878
97759,0.9
97760,0.895
97761,0.865
97801,0.865
97810,0.872
97812,0.879
97813,0.91
97814,0.883
97817,0.927
97818,0.927
97819,0.927
97820,0.84
97823,0.851
97824,0.883
97825,0.927
97826,0.927
97827,0.921
97828,0.877
97830,0.895
97833,0.912
97834,0.927
97835,0.927
97836,0.84
97837,0.874
97838,0.907
97839,0.82
97840,0.848
97841,0.876
97842,0.927
97843,0.927
97844,0.837
97845,0.852
97846,0.877
97848,0.864
97850,0.851
97856,0.884
97857,0.839
97859,0.858
97862,0.877
97864,0.874
97865,0.871
97867,0.89
97868,0.868
97869,0.846
97870,0.946
97873,0.845
97874,0.864
97875,0.872
97876,0.847
97877,0.927
97880,0.927
97882,0.92
97883,0.879
97884,0.872
97885,0.864
97886,0.869
97901,0.927
97903,0.927
97904,0.927
97905,0.927
97906,0.927
97907,0.927
97908,0.927
97909,0.927
97910,0.887
97911,0.881
97913,0.875
97914,0.878
97917,0.86
97918,0.843
97920,0.789
