zipcode,factor
default,1
15001,0.735
15003,0.744
15004,0.74
15005,0.737
15006,0.75
15007,0.736
15009,0.738
15010,0.731
15012,0.717
15014,0.783
15015,0.758
15017,0.753
15018,0.729
15019,0.927
15020,0.927
15021,0.724
15022,0.729
15024,0.71
15025,0.737
15026,0.744
15027,0.737
15028,0.721
15030,0.704
15031,0.725
15033,0.767
15034,0.755
15035,0.761
15037,0.717
15038,0.732
15042,0.748
15043,0.699
15044,0.738
15045,0.777
15046,0.736
15047,0.759
15049,0.736
15050,0.703
15051,0.736
15052,0.705
15053,0.735
15054,0.741
15055,0.746
15056,0.754
15057,0.741
15059,0.716
15060,0.711
15061,0.734
15062,0.753
15063,0.733
15064,0.737
15065,0.725
15066,0.729
15067,0.745
15068,0.726
15069,0.729
15071,0.731
15072,0.735
15074,0.738
15075,0.704
15076,0.716
15077,0.713
15078,0.74
15081,0.766
15082,0.754
15083,0.741
15084,0.716
15085,0.729
15086,0.755
15087,0.767
15088,0.779
15089,0.719
15090,0.764
15101,0.743
15102,0.761
15104,0.773
15106,0.753
15108,0.753
15110,0.762
15112,0.782
15116,0.735
15120,0.764
15122,0.743
15123,0.752
15126,0.714
15127,0.732
15129,0.731
15131,0.728
15132,0.782
15133,0.737
15135,0.737
15136,0.767
15137,0.734
15139,0.791
15140,0.777
15142,0.771
15143,0.751
15144,0.749
15145,0.773
15146,0.732
15147,0.738
15148,0.741
15201,0.78
15202,0.771
15203,0.798
15204,0.789
15205,0.753
15206,0.78
15207,0.758
15208,0.78
15209,0.767
15210,0.792
15211,0.78
15212,0.791
15213,0.788
15214,0.755
15215,0.769
15216,0.779
15217,0.8
15218,0.772
15219,0.798
15220,0.779
15221,0.771
15222,0.804
15223,0.783
15224,0.795
15225,0.74
15226,0.771
15227,0.768
15228,0.786
15229,0.769
15231,0.717
15232,0.827
15233,0.788
15234,0.773
15235,0.744
15236,0.767
15237,0.75
15238,0.769
15239,0.74
15241,0.769
15243,0.782
15244,0.866
15250,0.95
15252,0.927
15253,0.927
15260,0.801
15261,0.827
15267,0.852
15268,0.798
15275,0.744
15276,0.773
15277,0.797
15282,0.819
15290,0.777
15301,0.735
15310,0.731
15311,0.725
15312,0.713
15313,0.717
15314,0.718
15315,0.711
15316,0.703
15317,0.747
15320,0.717
15321,0.762
15322,0.726
15323,0.713
15324,0.927
15325,0.927
15327,0.927
15329,0.927
15330,0.733
15331,0.759
15332,0.716
15333,0.702
15334,0.699
15337,0.695
15338,0.706
15340,0.717
15341,0.689
15342,0.761
15344,0.699
15345,0.927
15346,0.927
15347,0.741
15348,0.725
15349,0.708
15350,0.927
15351,0.927
15352,0.691
15353,0.702
15357,0.714
15358,0.74
15359,0.728
15360,0.716
15361,0.927
15362,0.927
15363,0.746
15364,0.927
15366,0.927
15367,0.762
15368,0.74
15370,0.717
15376,0.705
15377,0.927
15378,0.927
15379,0.76
15380,0.745
15401,0.73
15410,0.696
15411,0.708
15412,0.729
15413,0.751
15417,0.723
15419,0.746
15420,0.743
15421,0.741
15422,0.725
15423,0.71
15424,0.722
15425,0.719
15427,0.927
15428,0.927
15429,0.927
15430,0.709
15431,0.719
15432,0.927
15433,0.927
15434,0.927
15435,0.714
15436,0.728
15437,0.748
15438,0.722
15440,0.735
15442,0.749
15443,0.927
15444,0.927
15445,0.713
15446,0.927
15447,0.927
15448,0.927
15449,0.927
15450,0.927
15451,0.927
15454,0.927
15455,0.927
15456,0.733
15458,0.702
15459,0.71
15460,0.725
15461,0.738
15462,0.927
15463,0.927
15464,0.927
15465,0.733
15466,0.696
15467,0.705
15468,0.927
15469,0.927
15470,0.738
15472,0.733
15473,0.728
15474,0.719
15475,0.747
15476,0.927
15477,0.927
15478,0.705
15479,0.726
15480,0.726
15482,0.927
15483,0.927
15484,0.927
15486,0.927
15488,0.927
15489,0.927
15490,0.729
15492,0.728
15501,0.726
15502,0.788
15510,0.927
15520,0.927
15521,0.715
15522,0.714
15530,0.735
15531,0.717
15532,0.718
15533,0.719
15534,0.927
15535,0.927
15536,0.927
15537,0.711
15538,0.703
15539,0.694
15540,0.704
15541,0.713
15542,0.73
15544,0.726
15545,0.721
15546,0.715
15547,0.709
15548,0.72
15550,0.731
15551,0.719
15552,0.705
15554,0.691
15555,0.693
15557,0.695
15558,0.702
15559,0.71
15560,0.716
15561,0.723
15562,0.729
15563,0.736
15564,0.737
15601,0.737
15610,0.747
15611,0.927
15612,0.927
15613,0.721
15615,0.732
15616,0.743
15617,0.927
15618,0.927
15620,0.927
15621,0.8
15622,0.699
15623,0.723
15624,0.927
15625,0.927
15626,0.734
15627,0.704
15628,0.728
15629,0.726
15631,0.725
15632,0.735
15633,0.729
15634,0.724
15635,0.742
15636,0.76
15637,0.747
15638,0.741
15639,0.735
15640,0.927
15641,0.927
15642,0.743
15644,0.734
15646,0.927
15647,0.927
15650,0.729
15655,0.723
15656,0.716
15658,0.708
15660,0.722
15661,0.74
15662,0.927
15663,0.927
15664,0.722
15665,0.717
15666,0.726
15668,0.737
15670,0.725
15671,0.731
15672,0.736
15673,0.74
15674,0.761
15675,0.719
15676,0.705
15677,0.69
15678,0.744
15679,0.723
15680,0.719
15681,0.714
15683,0.73
15684,0.693
15686,0.689
15687,0.715
15688,0.744
15689,0.773
15690,0.726
15691,0.927
15692,0.927
15693,0.927
15695,0.927
15696,0.927
15697,0.739
15698,0.726
15701,0.714
15705,0.927
15710,0.927
15711,0.927
15712,0.927
15713,0.927
15714,0.707
15715,0.736
15716,0.764
15717,0.716
15720,0.691
15721,0.7
15722,0.709
15723,0.927
15724,0.927
15725,0.703
15727,0.71
15728,0.723
15729,0.927
15730,0.927
15731,0.927
15732,0.716
15733,0.722
15734,0.699
15736,0.699
15737,0.715
15738,0.927
15739,0.927
15741,0.927
15742,0.927
15744,0.713
15745,0.927
15746,0.927
15747,0.691
15748,0.696
15750,0.927
15752,0.927
15753,0.927
15754,0.927
15756,0.927
15757,0.693
15758,0.927
15759,0.927
15760,0.927
15761,0.927
15762,0.927
15763,0.927
15764,0.927
15765,0.927
15767,0.716
15770,0.732
15771,0.749
15772,0.705
15773,0.927
15774,0.927
15775,0.927
15776,0.927
15777,0.927
15778,0.927
15779,0.927
15780,0.927
15781,0.927
15783,0.927
15784,0.686
15801,0.716
15821,0.927
15823,0.927
15824,0.709
15825,0.71
15827,0.724
15828,0.738
15829,0.693
15832,0.699
15834,0.704
15840,0.705
15841,0.705
15845,0.714
15846,0.717
15847,0.927
15848,0.927
15849,0.69
15851,0.711
15853,0.702
15856,0.705
15857,0.708
15860,0.694
15861,0.927
15863,0.927
15864,0.702
15865,0.712
15866,0.722
15868,0.683
15870,0.693
15901,0.773
15902,0.752
15904,0.726
15905,0.719
15906,0.732
15909,0.726
15920,0.717
15921,0.712
15922,0.712
15923,0.711
15924,0.927
15925,0.927
15926,0.708
15927,0.726
15928,0.927
15929,0.927
15930,0.927
15931,0.707
15934,0.744
15935,0.708
15936,0.699
15937,0.69
15938,0.698
15940,0.707
15942,0.713
15943,0.927
15944,0.927
15945,0.927
15946,0.713
15948,0.927
15949,0.927
15951,0.927
15952,0.716
15953,0.712
15954,0.707
15955,0.704
15956,0.709
15957,0.713
15958,0.703
15960,0.927
15961,0.927
15962,0.927
15963,0.715
16001,0.735
16002,0.725
16020,0.695
16022,0.7
16023,0.715
16024,0.735
16025,0.71
16027,0.708
16028,0.72
16029,0.751
16030,0.738
16033,0.725
16034,0.747
16035,0.728
16036,0.727
16037,0.726
16038,0.722
16040,0.701
16041,0.718
16045,0.732
16046,0.756
16048,0.729
16049,0.701
16050,0.743
16051,0.717
16052,0.736
16053,0.749
16054,0.729
16055,0.734
16056,0.728
16057,0.722
16059,0.714
16061,0.692
16063,0.75
16066,0.767
16101,0.724
16102,0.741
16103,0.734
16105,0.726
16107,0.755
16108,0.927
16110,0.927
16111,0.71
16112,0.716
16113,0.728
16114,0.714
16115,0.701
16116,0.705
16117,0.734
16120,0.744
16121,0.753
16123,0.747
16124,0.697
16125,0.708
16127,0.718
16130,0.698
16131,0.927
16132,0.927
16133,0.927
16134,0.734
16136,0.785
16137,0.722
16140,0.726
16141,0.73
16142,0.717
16143,0.699
16145,0.698
16146,0.773
16148,0.73
16150,0.726
16151,0.719
16153,0.712
16154,0.71
16155,0.714
16156,0.719
16157,0.725
16159,0.722
16160,0.744
16161,0.765
16172,0.744
16201,0.723
16210,0.927
16211,0.927
16212,0.7
16213,0.704
16214,0.708
16217,0.701
16218,0.693
16222,0.725
16223,0.716
16224,0.706
16225,0.708
16226,0.71
16228,0.714
16229,0.719
16230,0.707
16232,0.695
16233,0.927
16234,0.927
16235,0.72
16236,0.927
16238,0.927
16239,0.927
16240,0.711
16242,0.699
16244,0.927
16245,0.927
16246,0.717
16248,0.707
16249,0.927
16250,0.927
16253,0.927
16254,0.693
16255,0.719
16256,0.719
16258,0.704
16259,0.689
16260,0.698
16262,0.708
16263,0.708
16301,0.708
16311,0.927
16312,0.927
16313,0.705
16314,0.699
16316,0.704
16317,0.714
16319,0.692
16321,0.927
16322,0.927
16323,0.705
16326,0.696
16327,0.927
16328,0.927
16329,0.927
16331,0.927
16332,0.927
16333,0.927
16334,0.71
16335,0.716
16340,0.7
16341,0.693
16342,0.687
16343,0.755
16344,0.732
16345,0.708
16346,0.711
16347,0.698
16350,0.72
16351,0.927
16352,0.927
16353,0.722
16354,0.699
16360,0.722
16361,0.702
16362,0.682
16364,0.704
16365,0.705
16370,0.708
16371,0.711
16372,0.693
16373,0.721
16374,0.927
16401,0.927
16402,0.927
16403,0.721
16404,0.727
16405,0.725
16406,0.722
16407,0.708
16410,0.696
16411,0.701
16412,0.705
16415,0.73
16416,0.717
16417,0.705
16420,0.734
16421,0.762
16422,0.701
16423,0.713
16424,0.698
16426,0.737
16427,0.726
16428,0.714
16430,0.712
16433,0.71
16434,0.729
16435,0.927
16436,0.927
16438,0.704
16440,0.705
16441,0.707
16442,0.719
16443,0.732
16444,0.765
16501,0.799
16502,0.797
16503,0.802
16504,0.777
16505,0.741
16506,0.766
16507,0.794
16508,0.795
16509,0.718
16510,0.729
16511,0.756
16546,0.927
16563,0.927
16565,0.723
16601,0.734
16602,0.744
16603,0.728
16611,0.711
16613,0.927
16616,0.927
16617,0.729
16619,0.927
16620,0.927
16621,0.723
16622,0.927
16623,0.927
16624,0.927
16625,0.714
16627,0.699
16630,0.729
16631,0.724
16633,0.927
16634,0.927
16635,0.696
16636,0.927
16637,0.927
16638,0.927
16639,0.927
16640,0.71
16641,0.728
16644,0.685
16645,0.702
16646,0.719
16647,0.708
16648,0.726
16650,0.752
16651,0.717
16652,0.706
16655,0.698
16656,0.712
16657,0.725
16659,0.724
16661,0.72
16662,0.716
16664,0.701
16665,0.781
16666,0.743
16667,0.704
16668,0.722
16669,0.69
16670,0.694
16671,0.697
16672,0.708
16673,0.719
16674,0.927
16677,0.927
16678,0.927
16679,0.927
16680,0.927
16682,0.927
16683,0.927
16685,0.927
16686,0.716
16689,0.744
16691,0.732
16692,0.72
16693,0.711
16694,0.927
16695,0.927
16699,0.927
16701,0.702
16720,0.693
16724,0.927
16725,0.927
16726,0.927
16727,0.927
16728,0.927
16729,0.927
16730,0.927
16731,0.927
16732,0.927
16733,0.927
16734,0.927
16735,0.702
16738,0.714
16740,0.707
16743,0.701
16744,0.927
16745,0.927
16746,0.927
16748,0.927
16749,0.69
16750,0.724
16801,0.758
16802,0.71
16803,0.744
16820,0.927
16821,0.927
16822,0.708
16823,0.713
16825,0.73
16826,0.732
16827,0.733
16828,0.728
16829,0.694
16830,0.707
16832,0.711
16833,0.705
16834,0.727
16835,0.696
16836,0.927
16837,0.927
16838,0.697
16839,0.927
16840,0.927
16841,0.766
16843,0.738
16844,0.722
16845,0.719
16847,0.715
16848,0.927
16849,0.927
16851,0.794
16852,0.765
16853,0.735
16854,0.74
16855,0.716
16858,0.693
16859,0.927
16860,0.927
16861,0.695
16863,0.717
16864,0.708
16865,0.698
16866,0.721
16868,0.725
16870,0.729
16871,0.927
16872,0.927
16874,0.695
16875,0.705
16876,0.736
16877,0.734
16878,0.69
16879,0.704
16881,0.718
16882,0.709
16901,0.699
16911,0.704
16912,0.708
16914,0.716
16915,0.711
16917,0.678
16920,0.722
16921,0.719
16922,0.716
16923,0.73
16925,0.696
16926,0.927
16927,0.927
16928,0.721
16929,0.927
16930,0.927
16932,0.927
16933,0.71
16935,0.701
16936,0.692
16937,0.927
16938,0.927
16939,0.927
16940,0.927
16941,0.725
16942,0.695
16943,0.697
16946,0.699
16947,0.707
16948,0.729
16950,0.712
17002,0.72
17003,0.729
17004,0.754
17005,0.927
17006,0.927
17007,0.735
17009,0.745
17010,0.765
17011,0.784
