zipcode,factor
default,1.000
02802,0.949
02804,0.919
02806,0.983
02807,0.940
02808,0.936
02809,1.028
02812,0.887
02813,0.896
02814,0.888
02815,0.921
02816,0.953
02817,0.897
02818,0.951
02822,0.896
02825,0.879
02826,0.878
02827,0.878
02828,0.944
02830,0.926
02831,0.902
02832,0.897
02833,0.893
02835,0.918
02836,0.910
02837,0.901
02838,0.990
02839,0.925
02840,0.999
02841,1.087
02842,0.948
02852,0.929
02857,0.920
02858,0.926
02859,0.931
02860,1.077
02861,1.055
02863,1.095
02864,0.979
02865,0.962
02871,0.948
02872,1.084
02873,0.996
02874,0.908
02875,0.892
02876,0.961
02877,0.947
02878,0.932
02879,0.922
02881,0.967
02882,0.936
02885,0.984
02886,0.977
02888,0.995
02889,0.983
02891,0.962
02892,0.900
02893,1.022
02894,0.875
02895,1.049
02896,0.967
02898,0.883
02903,1.088
02904,1.058
02905,1.052
02906,1.050
02907,1.089
02908,1.054
02909,1.082
02910,1.037
02911,1.046
02912,1.030
02914,1.064
02915,1.006
02916,0.984
02917,0.944
02918,1.046
02919,0.960
02920,1.031
02921,0.972
