zipcode,factor
default,1
57001,0.956
57002,0.97
57003,1.026
57004,0.953
57005,1.014
57006,0.957
57007,0.984
57010,0.961
57012,0.938
57013,0.972
57014,0.948
57015,0.956
57016,0.956
57017,0.954
57018,0.966
57020,0.983
57021,0.973
57022,0.963
57024,0.967
57025,0.97
57026,0.927
57027,0.927
57028,0.961
57029,0.951
57030,0.956
57031,0.972
57032,0.989
57033,0.998
57034,0.927
57035,0.927
57036,0.942
57037,0.97
57038,0.998
57039,0.965
57040,0.927
57041,0.927
57042,0.957
57043,0.949
57045,0.927
57046,0.927
57047,0.927
57048,0.969
57049,1.014
57050,0.927
57051,0.927
57052,0.927
57053,0.958
57054,0.992
57055,1.026
57056,0.927
57057,0.927
57058,0.949
57059,0.927
57061,0.927
57062,0.927
57063,0.927
57064,1.016
57065,0.927
57066,0.927
57067,0.927
57068,0.999
57069,0.933
57070,0.954
57071,0.953
57072,0.927
57073,0.927
57075,0.923
57076,0.942
57077,0.962
57078,0.986
57101,1.485
57103,1.087
57104,1.042
57105,1.087
57106,1.042
57107,0.989
57108,1.018
57110,1.01
57117,1.282
57197,1.133
57201,0.983
57212,0.986
57213,0.927
57214,0.927
57216,0.967
57217,0.927
57218,0.927
57219,0.968
57220,0.965
57221,0.927
57223,0.927
57224,0.927
57225,0.927
57226,0.972
57227,1.028
57231,0.956
57232,0.927
57233,0.927
57234,0.927
57235,0.927
57236,0.927
57237,0.927
57238,0.927
57239,0.927
57241,0.952
57242,0.927
57243,0.927
57245,0.927
57246,0.927
57247,0.966
57248,0.927
57249,0.927
57251,0.927
57252,0.96
57255,0.952
57256,0.927
57257,0.927
57258,0.927
57259,0.927
57260,0.927
57261,0.978
57262,0.945
57263,0.927
57264,0.927
57265,0.927
57266,0.927
57268,0.927
57269,0.927
57270,0.927
57271,0.927
57272,0.965
57273,0.958
57274,0.951
57276,0.927
57278,0.927
57279,0.927
57301,0.971
57311,1.004
57312,0.927
57313,0.927
57314,0.927
57315,0.927
57317,0.927
57319,0.927
57321,0.927
57322,0.927
57323,0.982
57324,0.961
57325,0.94
57328,0.927
57329,0.927
57330,0.927
57331,0.927
57332,0.969
57334,0.956
57335,0.927
57337,0.927
57339,0.987
57340,0.927
57341,0.927
57342,0.927
57344,0.927
57345,0.951
57346,0.927
57348,0.927
57349,0.954
57350,0.965
57353,1.003
57354,0.927
57355,0.927
57356,0.927
57358,0.927
57359,0.927
57361,0.927
57362,0.927
57363,0.927
57364,0.927
57365,0.927
57366,0.957
57367,0.968
57368,0.978
57369,0.927
57370,0.927
57371,0.927
57373,0.927
57374,0.927
57375,0.927
57376,0.927
57379,0.927
57380,0.956
57381,0.952
57382,0.948
57383,0.927
57384,0.927
57385,0.927
57386,0.927
57401,0.985
57420,0.927
57421,0.927
57422,0.975
57424,0.927
57426,0.927
57427,0.927
57428,0.927
57429,0.927
57430,0.973
57432,0.927
57433,0.927
57434,0.927
57435,0.927
57436,0.983
57437,0.987
57438,0.927
57439,0.927
57440,0.927
57441,0.957
57442,0.947
57445,0.938
57446,0.927
57448,0.927
57449,0.927
57450,0.927
57451,0.927
57452,0.927
57454,0.927
57455,0.927
57456,0.927
57457,0.927
57460,0.927
57461,0.927
57465,0.927
57466,0.927
57467,0.927
57468,0.927
57469,0.941
57470,0.927
57471,0.927
57472,0.927
57473,0.927
57474,0.927
57475,0.927
57476,0.927
57477,0.927
57479,0.927
57481,0.927
57501,0.944
57520,0.927
57521,0.927
57522,0.927
57523,0.952
57528,0.927
57529,0.927
57531,0.927
57532,0.948
57533,0.946
57534,0.927
57536,0.927
57537,0.927
57538,0.927
57540,0.927
57541,0.927
57543,0.934
57544,0.958
57547,0.927
57548,0.927
57551,0.956
57552,0.959
57553,0.962
57555,0.941
57559,0.957
57560,0.927
57562,0.927
57563,0.927
57564,0.927
57566,0.927
57567,0.927
57568,0.927
57569,0.927
57570,0.927
57571,0.927
57572,0.927
57574,0.969
57576,0.927
57577,0.927
57579,0.927
57580,0.95
57584,0.927
57585,0.927
57601,1.011
57620,0.981
57621,0.951
57622,0.927
57623,0.927
57625,1.01
57626,0.927
57630,0.927
57631,0.927
57632,0.927
57633,0.97
57634,0.927
57636,0.927
57638,0.984
57639,0.927
57640,0.927
57641,0.927
57642,0.927
57644,0.927
57645,0.927
57646,0.927
57648,0.927
57649,0.927
57650,0.927
57651,0.927
57652,0.927
57656,0.994
57657,0.927
57658,0.927
57659,0.927
57660,0.927
57661,0.927
57701,1.011
57702,0.962
57703,0.983
57706,1.004
57709,1.029
57714,0.927
57716,0.927
57717,0.971
57718,0.98
57719,0.957
57720,0.927
57722,0.927
57724,0.927
57725,0.927
57730,0.957
57732,0.98
57735,0.95
57737,0.927
57738,0.927
57741,0.985
57744,0.956
57745,0.998
57747,0.955
57748,0.927
57750,0.927
57751,0.966
57752,0.948
57754,0.954
57755,0.927
57756,0.927
57758,0.927
57759,0.999
57760,0.962
57761,0.969
57762,0.927
57763,0.927
57764,0.938
57766,0.927
57767,0.927
57769,0.957
57770,0.935
57772,0.927
57773,0.927
57775,0.927
57776,0.927
57779,0.927
57780,0.927
57782,0.927
57783,0.958
57785,0.973
57787,0.927
57788,0.927
57790,0.943
57791,0.927
57792,0.927
57793,0.998
57794,0.984
57799,0.969
