zipcode,factor
default,1
37010,0.909
37011,0.968
37012,0.937
37013,0.992
37014,0.946
37015,0.966
37016,0.899
37018,0.958
37019,0.939
37020,0.919
37022,0.961
37023,0.914
37024,1.074
37025,0.966
37026,0.929
37027,1.036
37028,0.998
37029,0.96
37030,0.942
37031,0.978
37032,0.927
37033,0.929
37034,0.938
37035,0.906
37036,0.926
37037,0.921
37040,0.95
37042,0.941
37043,0.942
37046,1.014
37047,0.923
37048,0.994
37049,0.945
37050,0.915
37051,0.918
37052,0.927
37055,0.948
37057,0.979
37058,0.927
37059,0.942
37060,0.978
37061,0.916
37062,0.964
37064,0.997
37066,0.997
37067,1.021
37069,0.995
37072,0.983
37073,0.972
37074,0.931
37075,0.995
37076,0.991
37077,1.002
37078,0.951
37079,0.899
37080,0.966
37082,0.965
37083,0.948
37085,0.927
37086,1.004
37087,0.983
37090,0.939
37091,0.948
37095,0.959
37096,0.884
37097,0.894
37098,0.902
37101,0.926
37110,0.927
37115,1.023
37118,0.983
37121,1.163
37122,0.966
37127,0.953
37128,0.963
37129,0.981
37130,0.983
37131,1.008
37132,0.959
37134,0.939
37135,0.975
37137,0.942
37138,1.02
37140,0.929
37141,0.925
37142,0.92
37143,0.961
37144,0.923
37145,0.959
37146,0.986
37148,1.02
37149,0.969
37150,0.942
37151,0.927
37152,0.927
37153,0.919
37160,0.974
37161,1.295
37165,1.119
37166,0.943
37167,1.004
37171,0.926
37172,0.945
37174,0.965
37175,0.944
37178,0.921
37179,0.962
37180,0.933
37181,0.954
37183,0.987
37184,0.947
37185,0.914
37186,0.946
37187,0.954
37188,0.974
37189,0.938
37190,0.948
37191,0.914
37201,1.154
37202,1.038
37203,1.097
37204,1.055
37205,1.028
37206,1.059
37207,1.017
37208,1.035
37209,0.996
37210,1.034
37211,1.057
37212,1.155
37213,1.139
37214,0.999
37215,1.022
37216,1.041
37217,1.041
37218,0.961
37219,1.152
37220,1.001
37221,0.965
37222,1.089
37228,1.032
37230,1.148
37232,1.062
37235,1.149
37238,1.162
37240,1.153
37241,1.144
37243,1.073
37246,0.997
37301,0.92
37302,0.922
37303,0.944
37305,0.934
37306,0.91
37307,0.935
37308,0.98
37309,0.955
37310,0.941
37311,0.992
37312,0.974
37313,0.912
37315,0.915
37317,0.918
37318,0.935
37321,0.967
37322,0.929
37323,0.938
37324,0.933
37325,0.893
37326,0.935
37327,0.924
37328,0.986
37329,0.938
37330,0.932
37331,0.935
37332,0.927
37333,0.919
37334,0.936
37335,0.969
37336,0.937
37337,0.96
37338,1.002
37339,0.927
37340,0.918
37341,0.996
37342,0.927
37343,0.983
37345,0.966
37347,0.952
37348,0.917
37350,1.038
37351,1.005
37352,0.941
37353,0.953
37354,0.944
37355,0.938
37356,0.898
37357,0.93
37359,0.932
37360,0.934
37361,0.927
37362,0.922
37363,0.978
37364,1.028
37365,0.975
37366,0.921
37367,0.948
37369,0.902
37370,0.947
37373,0.932
37374,0.902
37375,0.932
37376,0.944
37377,0.956
37379,0.971
37380,0.93
37381,0.957
37383,0.95
37385,0.921
37387,0.924
37388,0.959
37391,0.948
37394,0.983
37396,0.867
37397,0.935
37398,0.957
37402,1.197
37403,1.116
37404,1.061
37405,0.974
37406,1.008
37407,1.029
37408,1.019
37409,0.987
37410,1.009
37411,1.012
37412,1.02
37415,0.987
37416,1.001
37419,0.921
37421,1.004
37424,1.034
37450,1.269
37601,0.968
37604,0.977
37614,0.948
37615,0.969
37616,0.96
37617,0.949
37618,0.933
37620,0.955
37640,0.971
37641,0.941
37642,0.951
37643,0.965
37645,0.968
37650,0.956
37656,0.918
37657,0.93
37658,0.941
37659,0.951
37660,0.972
37663,0.967
37664,0.968
37665,1.035
37680,0.993
37681,0.952
37682,0.936
37683,0.921
37686,0.931
37687,0.95
37688,0.95
37690,0.95
37691,0.955
37692,0.96
37694,1.029
37701,0.983
37705,0.93
37708,0.954
37709,0.938
37710,0.947
37711,0.954
37713,0.905
37714,0.959
37715,0.955
37716,0.951
37719,0.893
37721,0.968
37722,0.934
37723,0.927
37724,0.92
37725,0.964
37726,0.879
37727,0.939
37729,0.927
37730,0.927
37731,0.908
37732,0.927
37733,0.947
37737,0.988
37738,0.959
37742,0.987
37743,0.953
37744,0.938
37745,0.951
37748,0.942
37752,0.932
37753,0.95
37754,0.968
37755,0.96
37756,0.904
37757,0.989
37760,0.977
37762,0.928
37763,0.942
37764,0.983
37765,0.959
37766,0.936
37769,0.954
37770,0.921
37771,0.968
37772,0.983
37774,0.981
37777,0.957
37778,0.984
37779,1.027
37801,0.964
37802,0.993
37803,0.96
37804,0.983
37806,0.946
37807,0.957
37809,0.969
37810,0.94
37811,0.911
37813,0.964
37814,0.98
37816,1.024
37818,0.973
37819,0.976
37820,0.978
37821,0.937
37825,0.909
37826,0.925
37828,0.956
37829,0.966
37830,0.977
37840,0.933
37841,0.932
37843,0.929
37845,0.918
37846,0.915
37847,0.927
37848,0.95
37849,0.972
37851,0.927
37852,0.927
37853,0.954
37854,0.918
37857,0.945
37860,0.955
37861,0.954
37862,0.99
37863,0.972
37865,0.987
37866,0.977
37869,0.917
37870,0.938
37871,0.958
37872,0.919
37873,0.992
37874,0.948
37876,0.974
37877,0.977
37878,0.931
37879,0.932
37880,0.924
37881,0.905
37882,0.927
37885,0.945
37886,0.908
37887,0.944
37888,0.954
37890,0.963
37891,0.961
37892,0.992
37901,1.022
37902,1.115
37909,1.028
37912,1.011
37914,0.96
37915,1.043
37916,1.043
37917,1.022
37918,0.989
37919,1.015
37920,0.959
37921,1.019
37922,0.998
37923,1.019
37924,0.978
37929,1.052
37930,1.049
37931,0.99
37932,0.983
37934,1.013
37938,0.967
37939,1.001
37996,1.028
38001,0.939
38002,0.975
38004,0.952
38006,0.935
38007,0.894
38008,0.917
38011,0.956
38012,0.937
38014,1.065
38015,0.936
38016,0.977
38017,0.984
38018,0.98
38019,0.942
38021,0.942
38023,0.942
38024,0.926
38025,1.053
38028,0.984
38029,1.004
38030,0.962
38034,0.92
38036,0.978
38037,0.983
38039,0.988
38040,0.936
38041,0.938
38042,0.927
38044,0.927
38046,0.989
38047,0.959
38049,0.929
38050,0.936
38052,0.935
38053,0.954
38054,0.993
38055,1.14
38057,0.932
38058,0.983
38059,0.939
38060,0.966
38061,0.892
38063,0.927
38066,0.978
38067,0.945
38068,0.948
38069,0.897
38070,0.911
38075,0.923
38076,0.952
38077,0.936
38079,0.92
38080,0.911
38101,1.017
38103,1.098
38104,1.077
38105,1.023
38106,0.995
38107,1.016
38108,1.026
38109,0.997
38111,1.034
38112,1.047
38113,1.049
38114,1.043
38115,1.058
38116,1.02
38117,1.01
38118,1.011
38119,1.029
38120,1.035
38122,1.041
38125,1.005
38126,1.058
38127,0.972
38128,1.008
38131,0.938
38132,0.938
38133,0.995
38134,1.031
38135,1.008
38137,1.042
38138,1.016
38139,1.047
38141,1.002
38142,0.927
38150,0.927
