zipcode,factor
default,1
84001,1.004
84002,1.004
84003,1.004
84004,0.984
84005,0.932
84006,0.992
84007,0.99
84010,0.987
84011,1.006
84013,0.899
84014,0.964
84015,1.002
84016,1.058
84017,0.933
84018,0.98
84020,1.025
84021,0.908
84022,1.016
84023,0.927
84024,0.927
84025,0.964
84026,0.954
84027,0.92
84028,0.886
84029,0.905
84031,0.912
84032,0.92
84033,0.898
84034,0.894
84035,0.891
84036,0.934
84037,0.989
84038,0.904
84039,0.93
84040,0.956
84041,0.985
84042,0.958
84043,0.986
84044,0.955
84045,0.919
84046,0.872
84047,1.083
84049,0.924
84050,0.89
84051,0.921
84052,0.927
84053,0.927
84054,0.981
84055,0.954
84056,0.915
84057,1.052
84058,0.992
84059,0.987
84060,0.982
84061,0.92
84062,1.017
84063,0.905
84064,0.957
84065,1.01
84066,0.915
84067,1.035
84068,1.042
84069,1.052
84070,1.062
84071,0.909
84072,0.927
84073,0.927
84074,0.918
84075,0.948
84076,0.893
84078,0.911
84080,0.939
84081,0.97
84082,0.94
84083,0.953
84084,1.037
84085,0.963
84086,0.889
84087,0.996
84088,1.053
84089,1.047
84090,1.042
84091,1.064
84092,0.975
84093,1.035
84094,1.061
84095,1.022
84096,0.969
84097,1.013
84098,0.961
84101,1.047
84102,1.073
84103,0.998
84104,1.028
84105,1.054
84106,1.056
84107,1.062
84108,0.945
84109,0.963
84110,1.007
84111,1.091
84112,1.016
84113,0.972
84114,0.954
84115,1.081
84116,1.049
84117,1.07
84118,1.07
84119,1.056
84120,1.057
84121,0.966
84122,0.985
84123,1.082
84124,0.975
84125,1.068
84126,1.054
84127,1.04
84128,0.997
84129,1.094
84130,0.927
84132,0.927
84133,0.927
84138,0.927
84141,1.202
84144,1.119
84145,1.036
84147,1.018
84148,0.999
84150,0.972
84151,1.05
84152,1.11
84157,1.1
84158,1.05
84165,0.999
84170,1.021
84171,1.043
84180,1.054
84190,1.013
84201,0.971
84301,0.945
84302,0.918
84304,0.909
84305,0.936
84306,0.962
84307,0.899
84308,0.898
84309,0.896
84310,0.909
84311,0.879
84312,0.901
84313,0.927
84314,0.927
84315,0.945
84316,0.926
84317,0.905
84318,0.935
84319,0.912
84320,0.884
84321,0.956
84322,0.969
84323,0.935
84324,0.937
84325,0.938
84326,0.976
84327,0.911
84328,0.92
84329,0.901
84330,0.881
84331,0.924
84332,0.966
84333,0.887
84334,0.882
84335,0.917
84336,0.904
84337,0.891
84338,0.872
84339,0.927
84340,0.917
84341,0.945
84401,0.976
84402,0.98
84403,0.984
84404,0.943
84405,0.983
84407,1.103
84408,1.02
84409,0.937
84412,0.944
84414,0.95
84415,0.888
84501,0.887
84510,0.88
84511,0.888
84512,0.881
84513,0.923
84515,0.927
84516,0.927
84518,0.881
84520,0.904
84521,0.896
84522,0.888
84523,0.881
84525,0.87
84526,0.879
84528,0.9
84529,0.909
84530,0.927
84531,0.927
84532,0.912
84533,0.912
84534,0.913
84535,0.93
84536,0.899
84537,0.867
84539,0.927
84540,0.927
84542,0.889
84601,0.983
84602,0.949
84603,1.052
84604,0.957
84605,1.081
84606,0.966
84620,0.927
84621,0.927
84622,0.927
84623,0.927
84624,0.888
84626,0.893
84627,0.898
84628,0.892
84629,0.886
84630,0.879
84631,0.871
84632,0.9
84633,0.928
84634,0.938
84635,0.93
84636,0.923
84637,0.899
84638,0.876
84639,0.927
84640,0.927
84642,0.883
84643,0.907
84645,0.93
84646,0.896
84647,0.898
84648,0.926
84649,0.885
84651,0.929
84652,0.942
84653,0.956
84654,0.945
84655,0.911
84656,0.927
84657,0.927
84660,0.921
84662,0.912
84663,0.907
84664,0.972
84665,0.914
84667,0.894
84701,0.875
84710,0.927
84711,0.927
84712,0.927
84713,0.981
84714,0.926
84715,0.876
84716,0.903
84718,0.927
84719,0.927
84720,0.909
84721,0.899
84722,0.927
84723,0.927
84724,0.927
84725,0.9
84726,0.892
84728,0.927
84729,0.927
84730,0.927
84731,0.976
84732,0.927
84733,0.927
84734,0.949
84735,0.935
84736,0.891
84737,0.921
84738,0.925
84739,0.927
84740,0.927
84741,0.925
84742,0.891
84743,0.927
84744,0.927
84745,0.915
84746,0.929
84747,0.927
84749,0.927
84750,0.876
84751,0.863
84752,0.936
84753,0.91
84754,0.883
84755,0.927
84756,0.927
84757,0.916
84758,0.887
84759,0.915
84760,0.912
84761,0.909
84762,0.941
84763,0.921
84764,0.873
84765,0.944
84766,0.883
84767,0.945
84770,0.969
84771,0.927
84772,0.927
84773,0.902
84774,0.95
84775,0.894
84776,0.878
84779,0.963
84780,0.965
84781,0.929
84782,0.943
84783,0.97
84784,0.924
84790,0.944
84791,0.965
