zipcode,factor
default,1
20041,0.992
20101,0.971
20105,0.946
20106,0.922
20107,0.984
20109,1.046
20110,1.052
20111,1.02
20112,0.959
20115,0.915
20117,0.954
20118,0.996
20119,0.915
20120,0.984
20121,0.997
20124,0.972
20129,0.987
20130,0.986
20132,0.932
20135,0.935
20136,0.968
20137,0.906
20139,0.914
20140,0.922
20141,0.933
20143,0.936
20144,0.93
20146,1.017
20147,1.015
20148,0.992
20149,1.13
20151,1.029
20152,0.98
20155,0.967
20158,0.943
20164,1.051
20165,1.031
20166,1.027
20167,1.068
20169,0.962
20170,1.073
20171,1.044
20172,1.06
20175,0.97
20176,0.976
20180,0.937
20181,0.935
20184,0.887
20186,0.944
20187,0.945
20189,1.014
20190,1.038
20191,1.059
20192,1.062
20193,1.046
20194,1.031
20195,1.143
20196,1.037
20197,0.952
20198,0.949
20598,1.046
22003,1.056
22015,1.032
22025,0.962
22026,1.016
22027,1.094
22030,1.031
22031,1.047
22032,1.042
22033,1.031
22035,0.996
22039,0.972
22040,1.046
22041,1.076
22042,1.04
22043,1.027
22044,1.106
22046,1.067
22060,0.951
22066,0.962
22067,1.133
22079,0.975
22082,1.1
22092,0.927
22093,0.927
22095,0.927
22096,0.927
22101,1.016
22102,1.004
22103,1.042
22106,1.043
22107,1.062
22116,1.023
22119,1.002
22124,0.981
22125,1.029
22134,0.969
22150,1.045
22151,1.034
22152,1.041
22153,1.035
22159,1.111
22172,0.951
22180,1.036
22181,1.023
22182,1.019
22185,1.106
22191,1.056
22192,1.017
22193,1.028
22199,0.968
22201,1.08
22202,1.072
22203,1.119
22204,1.106
22205,1.088
22206,1.053
22207,1.05
22209,1.089
22211,1.001
22212,1.085
22213,1.035
22214,1.064
22240,1.047
22301,1.09
22302,1.052
22303,1.043
22304,1.059
22305,1.121
22306,1.059
22307,1.025
22308,1.001
22309,1.038
22310,1.042
22311,1.115
22312,1.071
22314,1.081
22315,1.027
22334,1.196
22401,1.017
22404,1.071
22405,0.956
22406,0.942
22407,0.953
22408,0.955
22412,0.927
22427,0.899
22432,0.927
22433,0.924
22435,0.921
22436,0.938
22437,0.956
