zipcode,factor
default,1
53001,0.992
53002,0.992
53003,0.969
53004,0.946
53005,1.025
53006,0.93
53007,1.065
53008,1.088
53010,0.933
53011,0.961
53012,0.989
53013,0.932
53014,0.928
53015,0.933
53016,0.968
53017,1.003
53018,0.995
53019,0.922
53020,0.934
53021,0.945
53022,0.999
53023,0.975
53024,0.979
53027,0.963
53029,1.004
53031,0.927
53032,0.927
53033,0.977
53034,0.957
53035,0.938
53036,0.966
53037,0.966
53038,0.926
53039,0.961
53040,0.969
53042,0.936
53044,0.956
53045,1.021
53046,0.963
53047,0.978
53048,0.946
53049,0.956
53050,0.965
53051,0.996
53057,1.003
53058,1.01
53059,0.962
53061,0.947
53063,0.969
53065,0.968
53066,0.966
53069,1.09
53070,0.95
53072,1.005
53073,0.95
53074,0.989
53075,0.977
53076,0.993
53078,0.932
53079,0.948
53080,0.965
53081,1.012
53083,0.956
53085,0.941
53086,0.951
53088,0.974
53089,0.996
53090,0.985
53091,0.972
53092,1.016
53093,0.993
53094,0.969
53095,0.987
53097,0.982
53098,0.947
53102,0.944
53103,0.977
53104,0.959
53105,0.976
53108,0.995
53110,1.084
53114,0.989
53115,0.951
53118,0.972
53119,0.98
53120,0.961
53121,0.957
53122,1.043
53125,1.001
53126,0.963
53128,0.98
53129,1.042
53130,1.056
53132,1
53137,0.951
53139,0.965
53140,1.068
53142,1.024
53143,1.092
53144,1.004
53146,0.988
53147,0.968
53149,0.992
53150,0.999
53151,1.022
53153,0.999
53154,1.023
53156,0.929
53158,1.003
53167,0.99
53168,0.976
53170,1.008
53172,1.083
53177,0.993
53178,0.933
53179,0.968
53181,0.974
53182,0.966
53183,1.017
53184,0.97
53185,0.974
53186,1.037
53188,1.024
53189,0.99
53190,0.961
53191,0.978
53192,1.045
53195,1.111
53202,1.123
53203,1.148
53204,1.107
53205,1.081
53206,1.097
53207,1.067
53208,1.128
53209,1.061
53210,1.091
53211,1.097
53212,1.107
53213,1.083
53214,1.097
53215,1.125
53216,1.094
53217,1.029
53218,1.08
53219,1.101
53220,1.083
53221,1.088
53222,1.07
53223,1.028
53224,1.031
53225,1.061
53226,1.045
53227,1.088
53228,1.053
53233,1.142
53235,1.068
53295,1.039
53402,1.009
53403,1.059
53404,1.062
53405,1.04
53406,1.008
53407,0.963
53501,0.918
53502,0.95
53503,0.923
53504,0.939
53505,0.916
53506,0.893
53507,0.932
53508,0.946
53510,0.952
53511,0.957
53515,0.982
53516,0.977
53517,0.938
53518,0.912
53520,0.962
53521,0.979
53522,0.954
53523,0.929
53525,0.936
53526,0.95
53527,0.963
53528,0.965
53529,0.965
53530,0.932
53531,0.935
53532,0.952
53533,0.917
53534,0.962
53535,0.89
53536,0.961
53537,0.95
53538,0.938
53540,0.926
53541,0.912
53543,0.927
53544,0.927
53545,0.966
53546,0.948
53548,0.975
53549,0.953
53550,0.948
53551,0.944
53553,0.927
53554,0.927
53555,0.95
53556,0.911
53557,0.953
53558,0.993
53559,0.949
53560,0.927
53561,0.906
53562,0.987
53563,0.936
53565,0.933
53566,0.914
53569,0.91
53570,0.932
53571,0.958
53572,0.984
53573,0.928
53574,0.956
53575,0.949
53576,0.938
53577,0.95
53578,0.962
53579,0.953
53580,0.93
53581,0.907
53582,0.904
53583,0.951
53585,0.986
53586,0.947
53587,0.908
53588,0.917
53589,0.958
53590,0.983
53593,0.975
53594,0.989
53597,0.984
53598,1.059
53599,1.103
53701,1.146
53702,1.1
53703,1.122
53704,1.023
53705,1.056
53706,1.238
53711,1.025
53713,1.026
53714,1.077
53715,1.091
53716,1.015
53717,1.013
53718,0.989
53719,1.008
53726,1.128
53792,0.927
53801,0.927
53802,0.927
53803,0.919
53804,0.918
53805,0.916
53806,0.908
53807,0.899
53808,0.902
53809,0.904
53810,0.933
53811,0.962
53812,0.919
53813,0.924
53816,0.927
53817,0.927
53818,0.904
53820,0.902
53821,0.915
53825,0.927
53826,0.938
53827,0.933
53901,0.928
53910,0.959
53911,0.95
53913,0.944
53916,0.947
53919,0.932
53920,0.917
53922,0.909
53923,0.902
53924,0.929
53925,0.956
53926,0.927
53928,0.927
53929,0.945
53930,0.927
53931,0.927
53932,0.921
53933,0.92
53934,0.918
53935,0.927
53936,0.927
53937,0.921
53939,0.942
53940,0.963
53941,0.927
53943,0.927
53944,0.928
53946,0.956
53947,0.944
53948,0.932
53949,0.932
53950,0.979
53951,0.975
53952,0.972
53953,0.957
53954,0.942
53955,0.932
53956,0.938
53959,0.931
53960,0.934
53961,0.95
53963,0.966
53964,0.942
53965,0.917
53968,0.927
53969,0.927
54001,0.921
54002,0.937
54003,0.953
54004,0.921
54005,0.929
54006,0.969
54007,1.01
54009,0.926
54010,0.945
54011,0.963
54013,0.94
54014,0.896
54015,0.938
54016,0.983
54017,0.933
54020,0.936
54021,0.955
54022,0.971
54023,0.96
54024,0.92
54025,0.977
54026,1.001
54027,0.975
54028,0.962
54082,0.962
54101,0.94
54102,0.962
54103,0.927
54104,0.927
54106,0.956
54107,0.926
54110,0.948
54111,0.919
54112,0.917
54113,0.917
54114,0.916
54115,0.962
54119,0.927
54120,0.927
54121,0.906
54123,0.908
54124,0.909
54125,0.936
54126,0.964
54127,0.944
54128,0.923
54129,0.924
54130,0.959
54135,0.921
54136,1.05
54137,0.918
54138,0.917
54139,0.927
54140,1.023
54141,0.95
54143,0.923
54149,0.933
54150,0.926
54151,0.919
54153,0.923
54154,0.935
54155,0.981
54156,0.951
54157,0.92
54159,0.927
54160,0.927
54161,0.955
54162,0.93
54165,0.959
54166,0.923
54169,0.926
54170,0.928
54171,0.926
54173,0.964
54174,0.977
54175,0.942
54177,0.906
54180,0.933
54201,0.937
54202,0.957
54204,0.969
54205,0.938
54207,0.906
54208,0.944
54209,0.984
54210,1.002
54211,1.019
54212,1.004
54213,0.978
54214,0.956
54216,0.932
54217,0.953
54220,0.954
54227,0.943
54228,0.932
54229,0.951
54230,0.912
54232,0.926
54234,0.94
54235,0.936
54241,0.927
54245,0.944
54246,0.962
54247,0.918
54301,1.049
54302,1.041
54303,1.021
54304,1.02
54307,1.035
54311,0.973
54313,0.972
54401,0.952
54403,0.945
54405,0.931
54406,0.917
54407,0.949
54408,0.926
54409,0.933
54410,0.927
54411,0.927
54412,0.923
54413,0.927
54414,0.927
54416,0.927
54417,0.927
54418,0.966
54420,0.927
54421,0.927
54422,0.927
54423,0.927
54424,0.898
54425,0.945
54426,0.927
54427,0.927
54428,0.971
54430,0.927
54433,0.927
54435,0.895
54436,0.907
54437,0.916
54440,0.924
54441,0.927
54442,0.927
54443,0.927
54446,0.927
54447,0.93
54448,0.932
54449,0.928
54450,0.934
54451,0.939
54452,0.915
54454,0.913
54455,0.936
54456,0.912
54457,0.926
54458,0.922
54459,0.927
54460,0.927
54462,0.927
54463,0.979
54465,1.004
54466,0.965
54467,0.927
54469,0.938
54470,0.963
54471,0.987
54473,0.944
54474,0.971
54475,0.969
54476,0.968
54479,0.927
54480,0.927
54481,0.94
54482,0.924
54484,0.901
54485,0.914
54486,0.927
54487,0.95
54488,0.933
54489,0.917
54490,0.927
54491,0.927
54493,0.927
54494,0.942
54495,0.921
54498,0.927
54499,0.927
54501,0.915
54511,0.932
54512,0.949
54513,0.928
54514,0.906
54515,0.927
54517,0.927
54519,0.927
54520,0.904
54521,0.929
54524,0.927
54525,0.927
54526,0.927
54527,0.906
54529,0.969
54530,0.97
54531,0.97
54534,0.927
54536,0.927
54537,0.927
54538,1.019
54539,0.945
54540,0.908
54541,0.927
54542,0.927
54545,1.013
54546,0.895
54547,1.002
54548,0.935
54550,0.92
54552,0.905
54554,0.903
54555,0.914
54556,0.927
54557,0.927
54558,0.974
54559,0.881
54560,0.927
54561,0.927
54562,0.897
54563,0.931
54564,0.927
54565,0.927
54566,0.927
54568,0.946
54601,0.948
54603,1
54610,0.89
54611,0.939
54612,0.91
54613,0.92
54614,0.929
54615,0.906
54616,0.906
54618,0.905
54619,0.932
54621,0.931
54622,0.923
54623,0.914
54624,0.891
54625,0.927
54626,0.927
54627,0.927
54628,0.927
54629,0.927
54630,0.904
54631,0.903
54632,0.957
54634,0.981
54635,0.951
54636,0.921
54637,0.923
54638,0.926
54639,0.959
54641,0.947
54642,0.935
54643,0.927
54644,0.927
54645,0.927
54646,0.976
54648,0.953
54650,0.955
54651,0.938
54652,0.924
54653,0.911
54654,0.927
54655,0.927
54656,0.914
54657,0.912
54658,0.91
54659,0.912
54660,0.915
54661,0.934
54664,0.939
54665,0.91
54666,0.911
54667,0.919
54669,0.909
54670,0.953
54701,0.941
54702,1.012
54703,0.963
54720,0.986
54721,0.955
54722,0.924
54723,0.959
54724,0.968
54725,0.946
54726,0.93
54727,0.914
54728,0.921
54729,0.947
54730,0.924
54731,0.918
54732,0.912
54733,0.957
54734,0.939
54736,0.92
54737,0.918
54738,0.916
54739,0.912
54740,0.908
54741,0.93
54742,0.955
54745,0.927
54746,0.927
54747,0.927
54748,0.927
54749,0.916
54750,0.936
54751,0.921
54754,0.908
54755,0.895
54756,0.898
54757,0.901
54758,0.907
54759,0.975
54760,0.952
54761,0.929
54762,0.923
54763,0.939
54765,0.927
54766,0.927
54767,0.945
54768,0.926
54769,0.947
54770,0.933
54771,0.924
54772,0.921
54773,0.918
54774,0.917
54801,0.916
54805,0.903
54806,0.89
54810,0.959
54812,0.921
54813,0.912
54814,0.92
54817,0.939
54819,0.927
54820,0.914
54821,0.923
54822,0.927
54824,0.927
54826,0.953
54827,0.923
54828,0.916
54829,0.909
54830,0.972
54832,0.898
54835,0.962
54836,0.939
54837,0.917
54838,0.967
54839,0.949
54840,0.931
54841,0.927
54842,0.927
54843,0.91
54844,0.927
54845,0.927
54846,0.927
54847,0.911
54848,0.908
54849,0.931
54850,0.954
54853,0.918
54854,0.927
54855,0.927
54856,0.927
54857,0.927
54858,0.923
54859,0.915
54861,0.927
54862,0.927
54864,0.95
54865,0.927
54867,0.927
54868,0.926
54870,0.911
54871,0.888
54872,0.921
54873,0.91
54874,0.921
54875,0.912
54876,0.971
54880,0.933
54888,0.932
54889,0.91
54891,0.888
54893,0.908
54895,0.927
54896,0.927
54901,1.005
54902,0.96
54904,0.932
54909,0.911
54911,1.038
54913,0.952
54914,0.979
54915,0.995
54921,0.939
54922,0.913
54923,0.925
54927,0.927
54928,0.927
54929,0.929
54930,0.932
54931,0.941
54932,0.927
54933,0.927
54934,0.927
54935,1.001
54936,0.964
54937,0.96
54940,0.941
54941,0.921
54942,0.984
54943,0.966
54944,0.947
54945,0.93
54946,1.019
54947,0.927
54948,0.927
54949,0.98
54950,0.911
54952,0.995
54956,0.974
54957,0.944
54960,0.971
54961,0.944
54962,0.954
54963,0.963
54964,0.946
54965,0.965
54966,0.92
54967,0.938
54968,0.956
54970,0.934
54971,0.926
54974,0.924
54977,0.905
54978,0.927
54979,0.927
54980,0.927
54981,0.956
54982,0.945
54983,0.905
54984,0.952
54985,0.947
54986,0.941
