zipcode,factor
default,1
24701,0.989
24712,0.947
24714,0.927
24715,0.927
24716,0.927
24719,0.927
24724,0.963
24726,0.967
24729,0.927
24731,0.927
24733,0.978
24736,0.995
24737,1.013
24738,0.986
24739,0.959
24740,0.981
24747,0.944
24801,0.958
24808,0.927
24811,0.927
24813,0.957
24815,0.927
24816,0.927
24817,0.984
24818,0.927
24822,0.927
24823,0.927
24826,0.927
24827,0.992
24828,0.933
24830,0.927
24831,0.927
24834,0.927
24836,0.927
24839,0.962
24843,0.968
24844,0.973
24845,0.995
24846,0.979
24847,0.963
24848,0.927
24849,0.927
24850,0.959
24851,0.959
24853,0.98
24854,0.927
24857,0.927
24859,0.927
24860,0.927
24861,0.927
24862,0.927
24866,0.927
24867,0.927
24868,0.927
24869,0.927
24870,0.96
24871,0.952
24872,0.944
24873,0.961
24874,0.976
24878,0.927
24879,0.927
24880,0.973
24881,0.927
24882,0.927
24884,0.927
24887,0.927
24888,0.927
24892,0.974
24894,0.927
24895,0.927
24898,0.927
24901,0.956
24902,1.274
24910,0.952
24915,0.927
24916,0.927
24918,0.967
24920,0.971
24924,0.963
24925,0.954
24927,0.945
24931,0.979
24934,1.02
24935,0.99
24938,0.96
24941,0.953
24943,0.932
24944,0.953
24945,0.976
24946,0.955
24951,0.969
24954,0.98
24957,1.011
24962,0.993
24963,0.974
24966,0.951
24970,0.973
24974,0.927
24976,0.927
24977,1.004
24981,0.96
24983,0.956
24984,0.927
24985,0.927
24986,0.96
24991,0.958
24993,0.956
25002,0.965
25003,0.973
25005,0.945
25007,0.927
25008,0.927
25009,0.927
25011,0.927
25015,1.001
25019,0.927
25021,0.927
25022,0.927
25024,0.927
25025,0.927
25028,1.016
25030,0.927
25031,0.927
25033,0.982
25035,0.976
25036,0.984
25039,0.992
25040,0.992
25043,0.946
25044,0.943
25045,0.959
25047,0.95
25048,0.983
25049,0.98
25051,0.981
25053,0.983
25054,0.927
25057,0.927
25059,0.927
25060,0.927
25061,1.029
25062,0.983
25063,0.937
25064,1.014
25067,0.975
25070,0.935
25071,0.961
25075,0.927
25076,0.927
25079,0.927
25081,0.974
25082,0.953
25083,0.945
25085,0.938
25086,0.989
25088,0.931
25090,0.927
25093,0.927
25102,0.971
25103,0.977
25106,0.945
25107,0.927
25108,0.927
25109,0.927
25110,0.927
25111,0.927
25112,1.039
25113,0.958
25114,0.965
25115,0.927
25118,0.927
25119,0.927
25121,0.952
25123,0.986
25124,0.961
25125,0.927
25126,0.927
25130,0.993
25132,0.996
25133,0.927
25134,0.927
25136,0.98
25139,0.965
25140,0.949
25141,0.978
25142,0.995
25143,1.011
25148,0.948
25149,0.927
25152,0.927
25154,0.927
25156,0.927
25159,0.974
25160,0.927
25161,0.927
25162,0.927
25164,0.957
25165,0.948
25168,0.966
25169,0.927
25173,0.927
25174,0.927
25177,1.016
25180,0.998
25181,0.98
25183,0.927
25185,0.927
25186,0.986
25187,0.963
25193,0.941
25201,0.927
25202,0.927
25203,0.927
25204,0.927
25205,0.927
25206,0.927
25208,0.953
25209,0.963
25211,0.968
25213,0.973
25214,0.927
25231,0.927
25234,0.987
25235,1.028
25239,0.927
25241,0.927
25243,0.928
25244,0.927
25245,0.927
25247,0.927
25248,0.993
25251,0.98
25252,0.967
25253,0.959
25259,0.972
25260,0.986
25261,0.975
25262,0.963
25264,0.951
25265,0.927
25266,0.927
25267,0.927
25268,0.995
25270,0.983
25271,0.971
25275,0.974
25276,0.984
25285,0.927
25286,0.927
25287,0.927
25301,1.079
25302,1.021
25303,1.026
25304,1.01
25305,0.999
25306,0.988
25309,0.99
25311,0.997
25312,0.995
25313,0.989
25314,0.99
25315,0.984
25320,0.972
25337,1.148
25362,0.986
25387,0.981
25389,1.017
25401,1.085
25403,1.018
25404,1.027
25405,1.046
25411,0.999
25413,1.023
25414,1.052
25419,1.049
25420,1.031
25422,0.998
25425,1.037
25427,1.004
25428,1.047
25430,1.02
25431,0.965
25432,0.976
25434,0.987
25437,0.953
25438,1.034
25442,1.046
25443,1.05
25444,0.987
25446,1.115
25501,1.041
25502,0.968
25503,0.969
