zipcode,factor
default,1
82001,1.022
82002,1.193
82003,1.136
82005,1.019
82007,0.996
82009,0.972
82050,0.927
82051,0.927
82052,0.927
82053,0.986
82054,1.013
82055,1.056
82058,0.927
82059,0.927
82060,0.927
82061,0.927
82063,1.018
82070,0.96
82071,1.1
82072,0.987
82073,1.103
82081,1.038
82082,0.974
82083,0.927
82084,0.927
82190,1.004
82201,0.965
82210,0.959
82212,0.965
82213,0.971
82214,0.948
82215,0.969
82217,0.927
82219,0.927
82221,0.983
82222,0.927
82223,0.927
82224,0.987
82225,0.954
82227,0.927
82229,0.927
82240,0.974
82242,0.927
82243,0.927
82244,0.927
82301,0.962
82310,0.927
82321,0.927
82322,0.927
82323,0.927
82324,0.927
82325,0.976
82327,0.987
82329,0.99
82331,0.993
82332,0.972
82334,0.927
82335,0.927
82336,0.927
82401,0.941
82410,0.956
82411,0.968
82412,0.941
82414,0.971
82420,0.927
82421,0.927
82422,0.927
82423,0.989
82426,0.992
82428,0.927
82430,0.927
82431,0.954
82432,0.99
82433,0.927
82434,0.927
82435,0.977
82440,1.05
82441,1.038
82442,1.026
82443,0.956
82450,1.034
82501,0.971
82510,0.962
82512,0.952
82513,0.984
82514,0.954
82515,0.927
82516,0.927
82520,0.964
82523,1.007
82601,0.989
82602,0.95
82604,0.962
82609,0.988
82620,1.01
82630,1.031
82633,0.947
82635,0.963
82636,0.978
82637,0.97
82638,0.927
82639,0.927
82640,0.927
82642,0.927
82643,0.927
82644,1.059
82646,0.927
82648,0.927
82649,0.974
82701,0.974
82710,0.927
82711,0.927
82712,0.927
82714,0.927
82715,0.927
82716,0.976
82717,1.014
82718,0.996
82720,1.004
82721,0.964
82723,0.972
82725,0.979
82727,0.975
82729,0.963
82730,0.944
82731,0.975
82732,1.005
82801,0.996
82831,0.974
82832,0.951
82833,0.963
82834,0.981
82835,1.052
82836,0.927
82837,0.927
82838,0.927
82839,0.927
82842,1.023
82844,0.927
82845,0.927
82901,0.984
82922,1.094
82923,0.948
82925,0.927
82929,0.927
82930,0.963
82932,0.95
82933,0.927
82934,0.927
82935,0.997
82936,0.981
82937,0.965
82938,0.992
82939,1.019
82941,0.998
82942,0.927
82943,0.927
82944,0.927
82945,0.927
83001,1.068
83002,1.076
83011,1.111
83012,1.146
83013,1.141
83014,1.074
83025,1.027
83101,0.959
83110,0.983
83111,0.977
83112,0.971
83113,0.969
83114,0.98
83115,0.99
83116,1.032
83118,0.987
83119,0.974
83120,0.961
83121,0.927
83122,0.927
83123,1.021
83124,0.927
83126,0.927
83127,0.963
83128,0.978
83414,1.032
